"","Month","Year","region","grid","Historical (SMSCG & X2)","base","No SMSCG, X2","SMSCG, No X2","60d","60d_100TAF","7_7","100TAFaug15","100TAFjul1","SixtyDayPercent","percent23","percentX2","percentGates","TAFaug","SixtyDayX","X23","XX2","XGates","XTAFaug","XXGates"
"1",6,"2024","Suisun Bay","Old",14733.02,14712.09,14712.09,14733.02,NA,NA,NA,NA,NA,NA,0.142263947542465,0,0.142263947542465,NA,NA,20.9300000000003,0,20.9300000000003,NA,-20.9300000000003
"2",6,"2024","Suisun Marsh","New",7309.23,7288.41,7288.41,7318.82,NA,NA,NA,NA,NA,NA,0.285659012047891,0,0.417237778884556,NA,NA,20.8199999999997,0,30.4099999999999,NA,-20.8199999999997
"3",7,"2010","Suisun Bay","Old",NA,8156.93530958642,NA,NA,8678.66483265471,8672.75259290698,8398.57485152863,NA,NA,6.39614638668437,NA,NA,NA,NA,521.729523068293,NA,NA,NA,NA,NA
"4",7,"2010","Suisun Marsh","Old",NA,4233.57495482488,NA,NA,4674.94448973197,4674.83174877809,4535.29515737219,NA,NA,10.4254569628932,NA,NA,NA,NA,441.369534907092,NA,NA,NA,NA,NA
"5",7,"2016","Suisun Bay","Old",NA,5497.14816182875,NA,NA,5877.42122307623,5880.04368878518,5541.46697632425,NA,NA,6.91764256761406,NA,NA,NA,NA,380.27306124748,NA,NA,NA,NA,NA
"6",7,"2016","Suisun Marsh","Old",NA,2152.48697041634,NA,NA,4530.42583104341,4530.81884120884,4206.9958227974,NA,NA,110.474018812161,NA,NA,NA,NA,2377.93886062707,NA,NA,NA,NA,NA
"7",7,"2017","Suisun Bay","Old",NA,18487.4310643984,NA,NA,NA,NA,NA,18477.9538291535,18853.2925846702,NA,NA,NA,NA,-0.0512631268881004,NA,NA,NA,NA,-9.47723524489265,NA
"8",7,"2017","Suisun Marsh","Old",NA,4778.93080153613,NA,NA,NA,NA,NA,4780.70264636888,4817.17392562179,NA,NA,NA,NA,0.0370761767920225,NA,NA,NA,NA,1.77184483274596,NA
"9",7,"2020","Suisun Bay","Old",NA,1807.78639336673,NA,NA,1236.23253570697,1237.29591820092,1525.5533166835,NA,NA,-31.6162274346654,NA,NA,NA,NA,-571.553857659761,NA,NA,NA,NA,NA
"10",7,"2020","Suisun Marsh","Old",NA,1417.45661160139,NA,NA,4192.41610529627,4191.78569614841,3799.33115276406,NA,NA,195.770330533069,NA,NA,NA,NA,2774.95949369488,NA,NA,NA,NA,NA
"11",7,"2023","Suisun Bay","Old",18545.1537291458,18545.1537291458,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"12",7,"2023","Suisun Marsh","Old",4832.94774440271,4832.94774440271,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
