,Year,Month,X2
1,2017,6,59.399
2,2017,7,71.19258065
3,2017,8,76.46903226
4,2017,9,74.53733333
5,2017,10,75.55225806
6,2018,6,76.523
7,2018,7,80.5316129
8,2018,8,81.98774194
9,2018,9,82.75566667
10,2018,10,83.84483871
11,2019,6,59.23166667
12,2019,7,72.6216129
13,2019,8,76.40709677
14,2019,9,74.60966667
15,2019,10,73.79419355
16,2020,6,79.057
17,2020,7,83.25677419
18,2020,8,87.58193548
19,2020,9,87.13333333
20,2020,10,87.72354839
21,2021,6,88.00533333
22,2021,7,89.2916129
23,2021,8,88.79677419
24,2021,9,89.33733333
25,2021,10,86.77645161
26,2022,6,85.011
27,2022,7,83.8816129
28,2022,8,87.58903226
29,2022,9,89.23033333
30,2023,6,61.25851852
31,2023,7,75.93741935
32,2023,8,80.85709677
33,2023,9,77.58074074
34,2023,10,80.6
