"","contrast","Region","estimate","SE","df","t.ratio","p.value"
"1","Year2017 - Year2018","River",0.491517246135227,0.178371802914723,1427.12135263585,2.75557704807309,0.0857461696704077
"2","Year2017 - Year2019","River",0.772786400364906,0.163130796041761,1427.07691918446,4.73721957543244,4.886089097067e-05
"3","Year2017 - Year2020","River",0.847868727272729,0.162699909998186,1427.12246454735,5.2112427553413,4.46980900248306e-06
"4","Year2017 - Year2021","River",0.655797594075589,0.160966540888633,1427.13326353545,4.07412366852881,0.000957117089628534
"5","Year2017 - Year2022","River",1.19590449509411,0.165549593880133,1427.13309971811,7.22384433005622,1.5875523118325e-11
"6","Year2017 - Year2023","River",-0.377714942560619,0.310031274461779,1427.11424550104,-1.21831238869801,0.887198766108937
"7","Year2018 - Year2019","River",0.281269154229678,0.150008765811579,1427.45582759687,1.87501812116081,0.497352794361351
"8","Year2018 - Year2020","River",0.356351481137502,0.149538023985929,1427.51075596061,2.38301584867159,0.206447514545581
"9","Year2018 - Year2021","River",0.164280347940362,0.147720207562034,1427.59034517555,1.11210477328482,0.924553920048182
"10","Year2018 - Year2022","River",0.704387248958879,0.152681000695861,1427.5452287438,4.61345711482473,8.80225847031957e-05
"11","Year2018 - Year2023","River",-0.869232188695847,0.303287675988951,1427.18869540452,-2.86603201353791,0.063757703500501
"12","Year2019 - Year2020","River",0.0750823269078232,0.130568395601549,1427.14838723359,0.575042119204324,0.997491233220623
"13","Year2019 - Year2021","River",-0.116988806289317,0.128302078457195,1427.05487156461,-0.911823157474,0.970765621334373
"14","Year2019 - Year2022","River",0.4231180947292,0.133991179425036,1427.04155037901,3.15780558500064,0.0270500975619256
"15","Year2019 - Year2023","River",-1.15050134292552,0.294421138274995,1427.10537623631,-3.90767235554579,0.00188148116598097
"16","Year2020 - Year2021","River",-0.19207113319714,0.127694548639775,1427.05165178274,-1.50414512790966,0.742458131922756
"17","Year2020 - Year2022","River",0.348035767821377,0.133441857345444,1427.07657986147,2.60814541062936,0.124183296935606
"18","Year2020 - Year2023","River",-1.22558366983335,0.294363576759702,1427.21839098324,-4.16350311857309,0.000657855369095572
"19","Year2021 - Year2022","River",0.540106901018517,0.131243051234439,1427.00985672879,4.11531807542121,0.000806058979693436
"20","Year2021 - Year2023","River",-1.03351253663621,0.293292496470241,1427.16028825148,-3.52382876846313,0.00797561252216195
"21","Year2022 - Year2023","River",-1.57361943765473,0.295823365411591,1427.15433815816,-5.31945620815071,2.51277396190464e-06
"22","Year2017 - Year2018","Suisun Bay",0.00652307212742975,0.177687361978032,1427.03118699657,0.0367109514982626,0.999999999790455
"23","Year2017 - Year2019","Suisun Bay",-0.0211526786564123,0.164946767586182,1427.09359305664,-0.128239425154909,0.999999622910443
"24","Year2017 - Year2020","Suisun Bay",0.0334262164206615,0.169079894367394,1427.19170479994,0.197694803073567,0.999995011709232
"25","Year2017 - Year2021","Suisun Bay",-0.09113132482764,0.172548655795489,1427.18889460838,-0.528148564284685,0.998444031486226
"26","Year2017 - Year2022","Suisun Bay",0.180533791269091,0.176484204632812,1427.34651278669,1.02294588711043,0.948818268085829
"27","Year2017 - Year2023","Suisun Bay",-0.456934837683643,0.310069272747632,1427.13005899871,-1.47365404393213,0.76058458903982
"28","Year2018 - Year2019","Suisun Bay",-0.0276757507838421,0.150985156673953,1427.18191759607,-0.183301136307107,0.999996819430683
"29","Year2018 - Year2020","Suisun Bay",0.0269031442932317,0.155523753351931,1427.32421902543,0.172984150095409,0.999997747940135
"30","Year2018 - Year2021","Suisun Bay",-0.0976543969550697,0.159281626227013,1427.30877132128,-0.613092666544536,0.99641862552742
"31","Year2018 - Year2022","Suisun Bay",0.174010719141661,0.163556442422589,1427.49866334703,1.06391846486891,0.938447045968385
"32","Year2018 - Year2023","Suisun Bay",-0.463457909811072,0.302789576579324,1427.10878154856,-1.53062702833714,0.726302230498329
"33","Year2019 - Year2020","Suisun Bay",0.0545788950770738,0.140362108425561,1427.04524125334,0.388843511181786,0.999731217512442
"34","Year2019 - Year2021","Suisun Bay",-0.0699786461712276,0.144512661479149,1427.04033107273,-0.484238858069363,0.999049249276758
"35","Year2019 - Year2022","Suisun Bay",0.201686469925503,0.149053365110048,1427.14596682799,1.35311584395692,0.826435588506493
"36","Year2019 - Year2023","Suisun Bay",-0.43578215902723,0.295462147296724,1427.12799470995,-1.4749170511835,0.759844420847404
"37","Year2020 - Year2021","Suisun Bay",-0.124557541248301,0.149040832067745,1427.00090389602,-0.835727629269305,0.981199880659509
"38","Year2020 - Year2022","Suisun Bay",0.147107574848429,0.153382184989085,1427.04101575638,0.959091662821841,0.962479107793116
"39","Year2020 - Year2023","Suisun Bay",-0.490361054104304,0.297806344758209,1427.17244971134,-1.64657692065773,0.651897312716136
"40","Year2021 - Year2022","Suisun Bay",0.27166511609673,0.157187309943664,1427.03564188883,1.7282891105783,0.597040684793253
"41","Year2021 - Year2023","Suisun Bay",-0.365803512856003,0.299777186967396,1427.16550411345,-1.22025133585561,0.886429575062074
"42","Year2022 - Year2023","Suisun Bay",-0.637468628952733,0.302012390884207,1427.20101165259,-2.11073667238091,0.346729538215529
"43","Year2017 - Year2018","Suisun Marsh",0.680386455546931,0.24343537784506,1427.08202636341,2.79493663398415,0.0772953071520464
"44","Year2017 - Year2019","Suisun Marsh",0.404287031215466,0.219819964726524,1427.18409627156,1.83917339682243,0.521595387381781
"45","Year2017 - Year2020","Suisun Marsh",0.515624238826178,0.222508812481907,1427.11087669494,2.31732052800428,0.236265143333383
