"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",8.22744418680431,0.382945856537268,102.803392090697,21.4846147212553,8.36171108150846e-40
"RegionRiver",1.02083645359019,0.375964920362424,1308.06858534613,2.71524389191982,0.00670984948173561
"RegionSuisun Bay",0.180770078722733,0.382559004800459,1308.03554837253,0.472528620302696,0.636628346096552
"RegionSuisun Marsh",0.473711270671402,0.396683331149259,1308.08807425396,1.19417992507772,0.232624095025281
"Year2018",0.465506977385008,0.411522873447889,1308.06774975211,1.13118129615693,0.25818613657027
"Year2019",-0.0832153475990299,0.391528177060852,1308.0948505776,-0.212539869349164,0.83171899139877
"Year2020",0.324070408815517,0.391458694002692,1308.07610307831,0.827853394956886,0.407904538164721
"Year2021",0.752000098649575,0.393006219856939,1308.05534487018,1.91345597258821,0.0559077925756302
"Year2022",0.530309819646218,0.391512484689262,1308.09333418238,1.35451573164293,0.175805807245238
"Year2023",0.942951914741815,0.597804566967614,1308.04154632206,1.57735816493503,0.114954930971671
"RegionRiver:Year2018",-0.888934523380959,0.456319253076224,1308.06097396952,-1.9480539499228,0.0516221552928733
"RegionSuisun Bay:Year2018",-0.337999326277692,0.470016101399778,1308.03099334331,-0.719122866793455,0.472193668222323
"RegionSuisun Marsh:Year2018",-1.29954792613395,0.478207849745533,1308.07068712391,-2.71753783804569,0.0066637770187076
"RegionRiver:Year2019",-0.799086946560905,0.430529381981056,1308.10720715559,-1.85605670601145,0.0636702227906714
"RegionSuisun Bay:Year2019",0.241891658201636,0.443174207395386,1308.1639593346,0.545816191838593,0.585285352488426
"RegionSuisun Marsh:Year2019",-0.287198802194144,0.450003462659845,1308.15659225612,-0.638214649497564,0.523445667242045
"RegionRiver:Year2020",-1.17577875427179,0.430224168740172,1308.0532039251,-2.73294445013359,0.00636165507509429
"RegionSuisun Bay:Year2020",-0.30237992895167,0.443751455432328,1308.06552990845,-0.681417323256043,0.495728082781546
"RegionSuisun Marsh:Year2020",-0.735999108512281,0.450908221986028,1308.07841636047,-1.63225923286688,0.102865572311401
"RegionRiver:Year2021",-1.42858378367207,0.430599459207991,1308.04100797265,-3.31766274462974,0.000932683893440348
"RegionSuisun Bay:Year2021",-0.373178542015466,0.453243640776755,1308.02320271048,-0.823350861307008,0.410458584142292
"RegionSuisun Marsh:Year2021",-1.25417796519619,0.452181731377072,1308.09333736504,-2.77361485033179,0.00562250354913235
"RegionRiver:Year2022",-1.68237500764751,0.431067345092587,1308.04845246263,-3.90281246492043,9.99230164668519e-05
"RegionSuisun Bay:Year2022",-0.673347034919012,0.464487257461726,1308.06267190919,-1.44965663557411,0.147394000213299
"RegionSuisun Marsh:Year2022",-1.19835781519555,0.450742187993836,1308.08151773299,-2.65863246688579,0.00794156229237269
"RegionRiver:Year2023",-1.15534822968415,0.662545674528971,1308.01887777443,-1.74380163375987,0.0814286103979431
"RegionSuisun Bay:Year2023",-0.571373099107691,0.789011299883721,1308.00467423619,-0.724163391819479,0.469094930592953
"RegionSuisun Marsh:Year2023",-0.629429575767344,0.659646626161313,1308.02888618805,-0.954192064060403,0.340162731058076
