"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"48","Eastern Delta","no.action_1940.08_hsit.avgmon_rma",0,"1940","August","noAction",0.281824678182602
"49","Eastern Delta","no.action_1940.09_hsit.avgmon_rma",0,"1940","Sep","noAction",0.315205127000809
"50","Eastern Delta","no.action_1940.10_hsit.avgmon_rma",0,"1940","Oct","noAction",0.317087918519974
"51","Eastern Delta","no.action_1979.06_hsit.avgmon_rma",0,"1979","June","noAction",0.294058412313461
"52","Eastern Delta","no.action_1979.07_hsit.avgmon_rma",0,"1979","July","noAction",0.272593080997467
"53","Eastern Delta","no.action_1979.08_hsit.avgmon_rma",0,"1979","August","noAction",0.286742985248566
"54","Eastern Delta","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.313104033470154
"55","Eastern Delta","no.action_1979.10_hsit.avgmon_rma",0,"1979","Oct","noAction",0.317092031240463
"56","Eastern Delta","no.action_1986.06_hsit.avgmon_rma",0,"1986","June","noAction",0.29319816827774
"57","Eastern Delta","no.action_1986.07_hsit.avgmon_rma",0,"1986","July","noAction",0.260014474391937
"58","Eastern Delta","no.action_1986.08_hsit.avgmon_rma",0,"1986","August","noAction",0.236790806055069
"59","Eastern Delta","no.action_1986.09_hsit.avgmon_rma",0,"1986","Sep","noAction",0.302502542734146
"60","Eastern Delta","no.action_1986.10_hsit.avgmon_rma",0,"1986","Oct","noAction",0.31763032078743
"61","Lower Sacramento","smscg_1940.06_hsit.avgmon_rma",0,"1940","June","GateAction",0.346546530723572
"62","Lower Sacramento","smscg_1940.07_hsit.avgmon_rma",0,"1940","July","GateAction",0.345776051282883
"63","Lower Sacramento","smscg_1940.08_hsit.avgmon_rma",0,"1940","August","GateAction",0.346484839916229
"64","Lower Sacramento","smscg_1940.09_hsit.avgmon_rma",0,"1940","Sep","GateAction",0.346557080745697
"65","Lower Sacramento","smscg_1940.10_hsit.avgmon_rma",0,"1940","Oct","GateAction",0.347880303859711
"66","Lower Sacramento","smscg_1979.06_hsit.avgmon_rma",22528,"1979","June","GateAction",0.371827125549316
"67","Lower Sacramento","smscg_1979.07_hsit.avgmon_rma",15726,"1979","July","GateAction",0.364893049001694
"68","Lower Sacramento","smscg_1979.08_hsit.avgmon_rma",0,"1979","August","GateAction",0.346775949001312
"69","Lower Sacramento","smscg_1979.09_hsit.avgmon_rma",0,"1979","Sep","GateAction",0.341431766748428
"70","Lower Sacramento","smscg_1979.10_hsit.avgmon_rma",0,"1979","Oct","GateAction",0.338516145944595
"71","Lower Sacramento","smscg_1986.06_hsit.avgmon_rma",0,"1986","June","GateAction",0.344720602035522
"72","Lower Sacramento","smscg_1986.07_hsit.avgmon_rma",0,"1986","July","GateAction",0.347354620695114
"73","Lower Sacramento","smscg_1986.08_hsit.avgmon_rma",0,"1986","August","GateAction",0.342177629470825
"74","Lower Sacramento","smscg_1986.09_hsit.avgmon_rma",0,"1986","Sep","GateAction",0.344788700342178
"75","Lower Sacramento","smscg_1986.10_hsit.avgmon_rma",0,"1986","Oct","GateAction",0.344957411289215
"76","Lower Sacramento","no.action_1940.06_hsit.avgmon_rma",0,"1940","June","noAction",0.346546828746796
"77","Lower Sacramento","no.action_1940.07_hsit.avgmon_rma",0,"1940","July","noAction",0.346020132303238
"78","Lower Sacramento","no.action_1940.08_hsit.avgmon_rma",0,"1940","August","noAction",0.346737384796143
"79","Lower Sacramento","no.action_1940.09_hsit.avgmon_rma",0,"1940","Sep","noAction",0.346603155136108
"80","Lower Sacramento","no.action_1940.10_hsit.avgmon_rma",0,"1940","Oct","noAction",0.347875446081161
"81","Lower Sacramento","no.action_1979.06_hsit.avgmon_rma",22528,"1979","June","noAction",0.371827065944672
"82","Lower Sacramento","no.action_1979.07_hsit.avgmon_rma",15726,"1979","July","noAction",0.364892810583115
"83","Lower Sacramento","no.action_1979.08_hsit.avgmon_rma",0,"1979","August","noAction",0.347313225269318
"84","Lower Sacramento","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.345373421907425
"85","Lower Sacramento","no.action_1979.10_hsit.avgmon_rma",0,"1979","Oct","noAction",0.339146077632904
"86","Lower Sacramento","no.action_1986.06_hsit.avgmon_rma",0,"1986","June","noAction",0.344720959663391
"87","Lower Sacramento","no.action_1986.07_hsit.avgmon_rma",0,"1986","July","noAction",0.347299665212631
"88","Lower Sacramento","no.action_1986.08_hsit.avgmon_rma",0,"1986","August","noAction",0.342258989810944
"89","Lower Sacramento","no.action_1986.09_hsit.avgmon_rma",0,"1986","Sep","noAction",0.344789654016495
"90","Lower Sacramento","no.action_1986.10_hsit.avgmon_rma",0,"1986","Oct","noAction",0.34495535492897
"91","Lower San Joaquin","smscg_1940.06_hsit.avgmon_rma",0,"1940","June","GateAction",0.343244552612305
"92","Lower San Joaquin","smscg_1940.07_hsit.avgmon_rma",0,"1940","July","GateAction",0.334030210971832
"93","Lower San Joaquin","smscg_1940.08_hsit.avgmon_rma",0,"1940","August","GateAction",0.341650307178497
"94","Lower San Joaquin","smscg_1940.09_hsit.avgmon_rma",0,"1940","Sep","GateAction",0.344532936811447
"95","Lower San Joaquin","smscg_1940.10_hsit.avgmon_rma",0,"1940","Oct","GateAction",0.344998568296432
"96","Lower San Joaquin","smscg_1979.06_hsit.avgmon_rma",0,"1979","June","GateAction",0.339136362075806
"97","Lower San Joaquin","smscg_1979.07_hsit.avgmon_rma",0,"1979","July","GateAction",0.341394037008286
"98","Lower San Joaquin","smscg_1979.08_hsit.avgmon_rma",0,"1979","August","GateAction",0.343477755784988
"99","Lower San Joaquin","smscg_1979.09_hsit.avgmon_rma",0,"1979","Sep","GateAction",0.344010770320892
"100","Lower San Joaquin","smscg_1979.10_hsit.avgmon_rma",0,"1979","Oct","GateAction",0.343388319015503
