"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"247","Upper Sacramento","smscg_1979.07_hsit.avgmon_rma",0,"1979","July","GateAction",0.346889823675156
"248","Upper Sacramento","smscg_1979.08_hsit.avgmon_rma",0,"1979","August","GateAction",0.340910375118256
"249","Upper Sacramento","smscg_1979.09_hsit.avgmon_rma",0,"1979","Sep","GateAction",0.338646531105042
"250","Upper Sacramento","smscg_1979.10_hsit.avgmon_rma",0,"1979","Oct","GateAction",0.339535623788834
"251","Upper Sacramento","smscg_1986.06_hsit.avgmon_rma",0,"1986","June","GateAction",0.337971597909927
"252","Upper Sacramento","smscg_1986.07_hsit.avgmon_rma",3087,"1986","July","GateAction",0.352505922317505
"253","Upper Sacramento","smscg_1986.08_hsit.avgmon_rma",2482,"1986","August","GateAction",0.341971099376678
"254","Upper Sacramento","smscg_1986.09_hsit.avgmon_rma",3776,"1986","Sep","GateAction",0.356924265623093
"255","Upper Sacramento","smscg_1986.10_hsit.avgmon_rma",0,"1986","Oct","GateAction",0.344900995492935
"256","Upper Sacramento","no.action_1940.06_hsit.avgmon_rma",0,"1940","June","noAction",0.347486019134521
"257","Upper Sacramento","no.action_1940.07_hsit.avgmon_rma",3085,"1940","July","noAction",0.357787728309631
"258","Upper Sacramento","no.action_1940.08_hsit.avgmon_rma",2478,"1940","August","noAction",0.351148694753647
"259","Upper Sacramento","no.action_1940.09_hsit.avgmon_rma",3777,"1940","Sep","noAction",0.36209112405777
"260","Upper Sacramento","no.action_1940.10_hsit.avgmon_rma",0,"1940","Oct","noAction",0.345961034297943
"261","Upper Sacramento","no.action_1979.06_hsit.avgmon_rma",0,"1979","June","noAction",0.346745878458023
"262","Upper Sacramento","no.action_1979.07_hsit.avgmon_rma",0,"1979","July","noAction",0.346887856721878
"263","Upper Sacramento","no.action_1979.08_hsit.avgmon_rma",0,"1979","August","noAction",0.341007977724075
"264","Upper Sacramento","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.339113473892212
"265","Upper Sacramento","no.action_1979.10_hsit.avgmon_rma",0,"1979","Oct","noAction",0.340471893548965
"266","Upper Sacramento","no.action_1986.06_hsit.avgmon_rma",0,"1986","June","noAction",0.337899804115295
"267","Upper Sacramento","no.action_1986.07_hsit.avgmon_rma",3087,"1986","July","noAction",0.351569026708603
"268","Upper Sacramento","no.action_1986.08_hsit.avgmon_rma",2482,"1986","August","noAction",0.341584861278534
"269","Upper Sacramento","no.action_1986.09_hsit.avgmon_rma",3776,"1986","Sep","noAction",0.356680124998093
"270","Upper Sacramento","no.action_1986.10_hsit.avgmon_rma",0,"1986","Oct","noAction",0.344828307628632
"271","Western Delta","smscg_1940.06_hsit.avgmon_rma",30091,"1940","June","GateAction",0.143865525722504
"272","Western Delta","smscg_1940.07_hsit.avgmon_rma",0,"1940","July","GateAction",0.115122385323048
"273","Western Delta","smscg_1940.08_hsit.avgmon_rma",0,"1940","August","GateAction",0.121474251151085
"274","Western Delta","smscg_1940.09_hsit.avgmon_rma",0,"1940","Sep","GateAction",0.105377174913883
"275","Western Delta","smscg_1940.10_hsit.avgmon_rma",0,"1940","Oct","GateAction",0.108380526304245
"276","Western Delta","smscg_1979.06_hsit.avgmon_rma",3569,"1979","June","GateAction",0.126181036233902
"277","Western Delta","smscg_1979.07_hsit.avgmon_rma",0,"1979","July","GateAction",0.191452711820602
"278","Western Delta","smscg_1979.08_hsit.avgmon_rma",0,"1979","August","GateAction",0.119531214237213
"279","Western Delta","smscg_1979.09_hsit.avgmon_rma",0,"1979","Sep","GateAction",0.105825610458851
"280","Western Delta","smscg_1979.10_hsit.avgmon_rma",0,"1979","Oct","GateAction",0.100799150764942
"281","Western Delta","smscg_1986.06_hsit.avgmon_rma",6222,"1986","June","GateAction",0.136352509260178
"282","Western Delta","smscg_1986.07_hsit.avgmon_rma",51,"1986","July","GateAction",0.119543060660362
"283","Western Delta","smscg_1986.08_hsit.avgmon_rma",0,"1986","August","GateAction",0.124805860221386
"284","Western Delta","smscg_1986.09_hsit.avgmon_rma",0,"1986","Sep","GateAction",0.10490558296442
"285","Western Delta","smscg_1986.10_hsit.avgmon_rma",0,"1986","Oct","GateAction",0.102349855005741
"286","Western Delta","no.action_1940.06_hsit.avgmon_rma",30091,"1940","June","noAction",0.143869012594223
"287","Western Delta","no.action_1940.07_hsit.avgmon_rma",0,"1940","July","noAction",0.114944599568844
"288","Western Delta","no.action_1940.08_hsit.avgmon_rma",0,"1940","August","noAction",0.12135162204504
"289","Western Delta","no.action_1940.09_hsit.avgmon_rma",0,"1940","Sep","noAction",0.105390168726444
"290","Western Delta","no.action_1940.10_hsit.avgmon_rma",0,"1940","Oct","noAction",0.108398623764515
"291","Western Delta","no.action_1979.06_hsit.avgmon_rma",3569,"1979","June","noAction",0.126180946826935
"292","Western Delta","no.action_1979.07_hsit.avgmon_rma",0,"1979","July","noAction",0.191453129053116
"293","Western Delta","no.action_1979.08_hsit.avgmon_rma",0,"1979","August","noAction",0.119432993233204
"294","Western Delta","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.105783320963383
"295","Western Delta","no.action_1979.10_hsit.avgmon_rma",0,"1979","Oct","noAction",0.100801907479763
"296","Western Delta","no.action_1986.06_hsit.avgmon_rma",6225,"1986","June","noAction",0.136365592479706
"297","Western Delta","no.action_1986.07_hsit.avgmon_rma",49,"1986","July","noAction",0.119500495493412
"298","Western Delta","no.action_1986.08_hsit.avgmon_rma",0,"1986","August","noAction",0.12479205429554
"299","Western Delta","no.action_1986.09_hsit.avgmon_rma",0,"1986","Sep","noAction",0.104886949062347
"300","Western Delta","no.action_1986.10_hsit.avgmon_rma",0,"1986","Oct","noAction",0.102367520332336
