"","count_(Intercept)","count_Chlor","count_Depth","count_DO","count_Habitat","count_Month","count_Salinity2","count_W_temp","zero_(Intercept)","zero_Chlor","zero_Depth","zero_DO","zero_Habitat","zero_Month","zero_Salinity2","zero_W_temp","df","logLik","AICc","delta","weight"
"1291",5.5924584461743,NA,-0.00776382729309197,NA,"+",NA,NA,NA,0.0687377353529309,NA,-0.0744223665551621,NA,"+",NA,NA,NA,9,-768.398383302847,1555.73426660569,0,0.272578368430165
"1420",5.71411708154125,-0.0229249766237006,-0.00864961765796687,NA,"+",NA,NA,NA,-0.179410264028463,0.0382602552945958,-0.071630152607324,NA,"+",NA,NA,NA,11,-767.033888286852,1557.45725025791,1.72298365222105,0.115172883839366
"3355",5.68257179961437,NA,-0.00903531604520629,NA,"+","+",NA,NA,-0.100077625601152,NA,-0.0760763691670493,NA,"+","+",NA,NA,11,-767.625934995331,1558.64134367487,2.90707706917965,0.0637129366277496
"1807",4.75454510902576,NA,-0.00767792948108593,0.105083057264994,"+",NA,NA,NA,1.32029657980724,NA,-0.0739379866586422,-0.158402383709781,"+",NA,NA,NA,11,-767.843428849439,1559.07633138309,3.34206477739417,0.0512591313396872
"9547",5.8655386468453,NA,-0.00742779339136592,NA,"+",NA,NA,-0.0129374355325796,2.92602774034179,NA,-0.0746127381934549,NA,"+",NA,NA,-0.133041061084592,11,-768.012649208075,1559.41477210036,3.68050549466739,0.0432792547877688
"3484",5.89970070526034,-0.0319589877692753,-0.0108281728862133,NA,"+","+",NA,NA,-0.442730700593253,0.0449811203336757,-0.0730385153518558,NA,"+","+",NA,NA,13,-765.746440263505,1559.42905073978,3.69478413408297,0.0429713707003243
"5419",5.60646032827896,NA,-0.00821937373440962,NA,"+",NA,0.0312223112757833,NA,0.0774244568058822,NA,-0.0742680129712351,NA,"+",NA,0.134942877790058,NA,11,-768.040859397615,1559.47119247944,3.73692587374649,0.0420753991411785
"388",5.4674774769993,-0.052185182572167,0.00152051639533807,NA,NA,NA,NA,NA,0.428139248843631,0.0440709609150469,-0.0920746334301169,NA,NA,NA,NA,NA,7,-772.765952660042,1560.10922490771,4.37495830201874,0.0305830829807368
"1033",5.48471028032604,NA,NA,NA,"+",NA,NA,NA,-0.88709249403091,NA,NA,NA,"+",NA,NA,NA,7,-772.865278976962,1560.30787754155,4.57361093585951,0.0276913667626717
"775",3.07249750232936,NA,0.00289291278706203,0.269356856300323,NA,NA,NA,NA,2.7186625300116,NA,-0.0933066513041089,-0.259836103376854,NA,NA,NA,NA,7,-773.041331426829,1560.65998244129,4.92571583559334,0.0232212601664124
"9676",5.80683750352361,-0.0229518358123386,-0.00841676724395709,NA,"+",NA,NA,-0.00447285830031606,3.35521933035244,0.0419384714259411,-0.07134820087668,NA,"+",NA,NA,-0.165856568658033,13,-766.454006276912,1560.84418276659,5.10991616089723,0.02117810961485
"1162",5.59361303877268,-0.0227707894233691,NA,NA,"+",NA,NA,NA,-1.13376546128698,0.0445913672139163,NA,NA,"+",NA,NA,NA,9,-771.060057264375,1561.05761452875,5.32334792305733,0.0190344824827575
"259",5.11073275307628,NA,0.00743170833777613,NA,NA,NA,NA,NA,0.813328113069529,NA,-0.101531703077647,NA,NA,NA,NA,NA,5,-775.417212888933,1561.14054822685,5.40628162115172,0.0182613234886411
"5548",5.71824678500696,-0.0215644690073371,-0.00895925428765617,NA,"+",NA,0.0242579753893629,NA,-0.175625815613557,0.0389839969048206,-0.0713872206865882,NA,"+",NA,0.143053005551303,NA,13,-766.661224960313,1561.25862013339,5.52435352769885,0.0172144543393972
"1936",5.14006784694393,-0.0182433297209509,-0.00849186732796766,0.0690382563926997,"+",NA,NA,NA,0.742286548050945,0.0355017040404586,-0.0714439196408658,-0.114473940052651,"+",NA,NA,NA,13,-766.76983061058,1561.47583143393,5.74156482823309,0.0154428134955374
"3871",4.86294446056486,NA,-0.00886598467318296,0.10229918893329,"+","+",NA,NA,1.08623147185506,NA,-0.0755236522361356,-0.149317575509039,"+","+",NA,NA,13,-767.132949481693,1562.20206917615,6.46780257045793,0.0107405347473525
"904",3.83892036931107,-0.0311140610510725,0.000406548802450587,0.196525552980971,NA,NA,NA,NA,1.88833649683863,0.0379234887965591,-0.0876256322560386,-0.191718527770011,NA,NA,NA,NA,9,-771.643041376338,1562.22358275268,6.48931614698222,0.0106256202527428
"2452",5.55927945357966,-0.0571983765635614,0.00046994493741633,NA,NA,"+",NA,NA,0.158914742602815,0.0503683447275588,-0.0929763580387468,NA,NA,"+",NA,NA,9,-771.659234612135,1562.25596922427,6.52170261857668,0.0104549427188589
"7483",5.71322481713014,NA,-0.00978931342944226,NA,"+","+",0.0396013475065822,NA,-0.0800288261271551,NA,-0.0758299883966813,NA,"+","+",0.117323117582671,NA,13,-767.311956566054,1562.56008334487,6.82581673918048,0.00898016084601115
"10063",4.27617706743631,NA,-0.00790732076202954,0.115665687985164,"+",NA,NA,0.0184821482118346,4.64343125129111,NA,-0.0740063513996581,-0.180857031496037,"+",NA,NA,-0.146373630294453,13,-767.370662223629,1562.67749466002,6.94322805433012,0.00846815058684123
"5935",4.74779856406006,NA,-0.00819587785883776,0.107852472127473,"+",NA,0.0315980042483905,NA,1.29267308093826,NA,-0.0737295710689903,-0.153869448835057,"+",NA,0.133490029067593,NA,13,-767.502993636953,1562.94215748667,7.20789088097854,0.00741852850511053
"11611",6.92304025737528,NA,-0.00823890882671555,NA,"+","+",NA,-0.057074936985143,1.02559820799837,NA,-0.0757300807301012,NA,"+","+",NA,-0.0510711466162142,13,-767.533661661231,1563.00349353523,7.26922692953417,0.00719447016690247
"3226",5.73408775225762,-0.0306621167485592,NA,NA,"+","+",NA,NA,-1.39646551686354,0.0511857766526457,NA,NA,"+","+",NA,NA,11,-769.863942745348,1563.11735917491,7.38309256921298,0.0067963104137794
"3097",5.55116180566881,NA,NA,NA,"+","+",NA,NA,-1.05285179920254,NA,NA,NA,"+","+",NA,NA,9,-772.208201098567,1563.35390219713,7.61963559144147,0.00603821457211929
