"","count_(Intercept)","count_Chlor","count_Depth","count_DO","count_Habitat","count_Month","count_Salinity2","count_W_temp","zero_(Intercept)","zero_Chlor","zero_Depth","zero_DO","zero_Habitat","zero_Month","zero_Salinity2","zero_W_temp","df","logLik","AICc","delta","weight"
"8644",6.41505357984297,-0.0508930313519527,0.00285888816335924,NA,NA,NA,NA,-0.0449547976929878,3.78788485232468,0.0478763505283371,-0.0915624241284598,NA,NA,NA,NA,-0.15722636225852,9,-772.220209856141,1563.37791971228,7.64365310658923,0.00596613676578948
"7612",5.92104539967644,-0.0308818220757089,-0.0114589328688433,NA,"+","+",0.0341232189495307,NA,-0.425029132356532,0.0453057170819447,-0.0727637522105659,NA,"+","+",0.12292948088736,NA,15,-765.43277382631,1563.44619281391,7.71192620821603,0.00576591039706918
"1549",4.63748826043344,NA,NA,0.106361299668652,"+",NA,NA,NA,0.41584345349417,NA,NA,-0.164269914159427,"+",NA,NA,NA,9,-772.259559721206,1563.45661944241,7.7223528367183,0.00573592911305716
"13675",5.74603450966298,NA,-0.00803401583004538,NA,"+",NA,0.031114520453946,-0.00664478761992699,2.55088492459982,NA,-0.0745834539069728,NA,"+",NA,0.10595866993535,-0.115200008828552,13,-767.762201829394,1563.46057387155,7.7263072658609,0.00572459915500506
"4516",5.47125247257748,-0.0522552144145346,0.0012890349142296,NA,NA,NA,-0.0214218097805799,NA,0.418598808912329,0.0443185706947011,-0.090651320792851,NA,NA,NA,0.140429071907468,NA,9,-772.365555963218,1563.66861192644,7.93434532074184,0.00515905541153297
"4000",5.5039078709218,-0.0287452763462124,-0.0106339483265591,0.046873043560138,"+","+",NA,NA,0.334188429881683,0.0424409517943823,-0.0727999439614391,-0.0955367580728585,"+","+",NA,NA,15,-765.580394281091,1563.74143372347,8.00716711777977,0.004974588255324
"11740",7.323216086103,-0.0335392843692322,-0.0100011530085685,NA,"+","+",NA,-0.0649478275308042,0.911524020868316,0.044917585295559,-0.0725272070656726,NA,"+","+",NA,-0.0614639560810948,15,-765.622061389787,1563.82476794086,8.0905013351703,0.00477157049879464
"9289",5.90392787863317,NA,NA,NA,"+",NA,NA,-0.0195154008696813,1.87693083214804,NA,NA,NA,"+",NA,NA,-0.128546383498698,9,-772.471854628143,1563.88120925629,8.14694265059302,0.00463879594536378
"2839",3.07125719651853,NA,0.00277078544763447,0.269985421511369,NA,"+",NA,NA,2.52131775179527,NA,-0.0951188974918561,-0.254124621576802,NA,"+",NA,NA,9,-772.492383581842,1563.92226716368,8.18800055799011,0.00454453714578018
"5161",5.49192398797817,NA,NA,NA,"+",NA,0.0277563876531941,NA,-0.874859987500715,NA,NA,NA,"+",NA,0.133086167661316,NA,9,-772.544238769419,1564.02597753884,8.29171093314494,0.00431488510265304
"9031",2.85862630963795,NA,0.00279240213739337,0.272584384555135,NA,NA,NA,0.00884607310022429,6.16143124041714,NA,-0.0925584596351455,-0.294653387420552,NA,NA,NA,-0.147606645141866,9,-772.580083667817,1564.09766733563,8.36340072994062,0.00416295766310193
"2323",5.1025760968139,NA,0.00741958638996885,NA,NA,"+",NA,NA,0.647970547317208,NA,-0.103471622316264,NA,NA,"+",NA,NA,7,-774.792137960858,1564.16159550935,8.42732890365232,0.00403199669670972
"9418",5.84834933867226,-0.022448945517844,NA,NA,"+",NA,NA,-0.0119312354024139,2.43582903861876,0.0486999184622519,NA,NA,"+",NA,NA,-0.167133264948034,11,-770.423256414597,1564.2359865134,8.5017199077115,0.00388477943791576
"4903",3.07590489378323,NA,0.00301001226716671,0.268969790308657,NA,NA,-0.00141653508650232,NA,2.66230976629175,NA,-0.0921303991852227,-0.253180101058817,NA,NA,0.131814551879492,NA,9,-772.743485584313,1564.42447116863,8.69020456293219,0.00353539093079401
"4387",5.11429812675652,NA,0.00721613920632338,NA,NA,NA,-0.0208141479511133,NA,0.804757662799965,NA,-0.0999142538219899,NA,NA,NA,0.136346391805455,NA,7,-775.036356347039,1564.65003228171,8.91576567601373,0.00315832974237109
"8515",6.61980786719713,NA,0.0093132213162224,NA,NA,NA,NA,-0.0709690724667057,3.33435737391758,NA,-0.101481651692862,NA,NA,NA,NA,-0.116884732688164,7,-775.041871997182,1564.66106358199,8.92679697629887,0.00314095745425122
"2968",3.96622467254162,-0.0361939546592254,-0.00041190622782973,0.190079773755625,NA,"+",NA,NA,1.48788876404618,0.0446225555294279,-0.0888028658684131,-0.17279193740747,NA,"+",NA,NA,11,-770.696454319782,1564.78238232377,9.04811571808045,0.00295609252779617
"5290",5.59359739196726,-0.0215425404101212,NA,NA,"+",NA,0.0207001696548269,NA,-1.1259101462257,0.0455127190195948,NA,NA,"+",NA,0.144876386216521,NA,11,-770.709636632119,1564.80874694845,9.07448034275535,0.00291738011296542
"10192",4.72553814118898,-0.0180893113585913,-0.00860031325106967,0.0787453152198268,"+",NA,NA,0.0157206465081865,4.61300349767999,0.0389897293972599,-0.0710134352749703,-0.13458894281344,"+",NA,NA,-0.173990179108062,15,-766.128076629157,1564.8367984196,9.10253181391022,0.00287674732937018
"1678",5.00981935233789,-0.0178558711528194,NA,0.0703625736930129,"+",NA,NA,NA,-0.215673376324263,0.04184940791882,NA,-0.113871152482501,"+",NA,NA,NA,11,-770.788449275699,1564.96637223561,9.23210562991449,0.00269628081736454
"13804",5.71657461464681,-0.0216454374631732,-0.00886653630650692,NA,"+",NA,0.0248158823219072,6.06428256572893e-06,2.9799494529153,0.0421843026583362,-0.0713603633419938,NA,"+",NA,0.107478718507461,-0.148067933097758,15,-766.213107908775,1565.00686097884,9.27259437314638,0.00264224511143502
"6064",5.09390618950834,-0.0162561652855687,-0.00884266101403053,0.0751257774745972,"+",NA,0.0263098384909957,NA,0.692822628636046,0.0363910483751651,-0.0711739087674255,-0.107887481212186,"+",NA,0.141448107745966,NA,15,-766.410890955649,1565.40242707259,9.66816046689473,0.00216808855659069
"9160",3.72769776655151,-0.0312369880082579,0.000460853551613026,0.197520038621348,NA,NA,NA,0.00484096602399395,5.83684925445187,0.0411117324175624,-0.0864719445021219,-0.220953460220676,NA,NA,NA,-0.174264832585303,11,-771.012918460752,1565.41531060571,9.68104400002017,0.00215416712367307
"5032",3.86098100523629,-0.0314656651063323,0.000394702926625315,0.194119293627484,NA,NA,-0.00791075280887884,NA,1.81841527606453,0.0383860955270051,-0.0865280036688729,-0.183662055771738,NA,NA,0.135950696928995,NA,11,-771.315343576868,1566.02016083795,10.2858942322532,0.00159198083208145
"6580",5.55735042938943,-0.0569477514182071,0.000351833192118939,NA,NA,"+",-0.0172875170760049,NA,0.163958957771888,0.0503283691401065,-0.0916413763237155,NA,NA,"+",0.120079214060878,NA,11,-771.374996409878,1566.13946650397,10.4051998982729,0.00149979167359073
"7999",4.8625067679721,NA,-0.00971969182681073,0.106638067748821,"+","+",0.0401567363993793,NA,1.0809723656234,NA,-0.0752444387542027,-0.146234375003729,"+","+",0.116674947027448,NA,15,-766.823231112673,1566.22710738664,10.4928407809432,0.00143548930883186
"10708",7.75411774508105,-0.0588950251663588,0.00227212535927483,NA,NA,"+",NA,-0.100070443345454,1.19491455704231,0.05036761176861,-0.0923065255669742,NA,NA,"+",NA,-0.0469284459492746,11,-771.473624833337,1566.33672335089,10.6024567451921,0.0013589302246993
"12127",5.54223580608604,NA,-0.00840879752983315,0.0886796771491632,"+","+",NA,-0.0262895020340225,2.87780402361452,NA,-0.0750409061672299,-0.163556962231541,"+","+",NA,-0.0760290398095974,15,-767.04856526933,1566.67777569995,10.943509094257,0.00114587852803786
"3613",4.71709332923533,NA,NA,0.104414165017663,"+","+",NA,NA,0.19276222213195,NA,NA,-0.156079615903079,"+","+",NA,NA,11,-771.659701993463,1566.70887767114,10.9746110654432,0.00112819682782321
"14191",4.01544191515103,NA,-0.00873393659064742,0.123812060041138,"+",NA,0.0347135816583486,0.0285199307730887,4.226135179079,NA,-0.0740070869449251,-0.174185165977681,"+",NA,0.0991074948439689,-0.129040459651147,15,-767.133645348495,1566.84793585828,11.1136692525872,0.00105241922420733
"9805",4.38826119365895,NA,NA,0.111590336384479,"+",NA,NA,0.00967515460212337,3.70315552152437,NA,NA,-0.188622847290045,"+",NA,NA,-0.143765387509818,11,-771.775724903191,1566.94092349059,11.2066568848984,0.00100460830661311
"15739",6.85433063690842,NA,-0.00903803874373663,NA,"+","+",0.0370054811985792,-0.0525701078657047,0.619518655128471,NA,-0.0756070484578415,NA,"+","+",0.112314150565239,-0.0318016922447622,15,-767.248496977964,1567.07763911722,11.3433725115249,0.000938230061021117
"7354",5.7443683977118,-0.0296528300725118,NA,NA,"+","+",0.0289865704809499,NA,-1.37493443254625,0.051640694578335,NA,NA,"+","+",0.124445784131045,NA,13,-769.579390390446,1567.09495099366,11.3606843879654,0.00093014384694965
"7225",5.56890720508446,NA,NA,NA,"+","+",0.0348064447873262,NA,-1.02965322180839,NA,NA,NA,"+","+",0.11676694566774,NA,11,-771.929464748998,1567.24840318221,11.5141365765139,0.000861446673149612
"12772",6.5110768072732,-0.050911270449002,0.00262625301151516,NA,NA,NA,-0.0237206007475134,-0.0492861634822355,3.39871577213883,0.0476858472389324,-0.0905861357436132,NA,NA,NA,0.113999947769706,-0.139392831152649,11,-771.93109120875,1567.25165610171,11.5173894960178,0.000860046703612958
"5677",4.62995168509331,NA,NA,0.108262681657168,"+",NA,0.0281790961632077,NA,0.405944951724954,NA,NA,-0.161419204702052,"+",NA,0.133137689251198,NA,11,-771.951762138096,1567.2929979604,11.5587313547101,0.000842451222959592
"3742",5.30365336491307,-0.0270062037699474,NA,0.0512353758238913,"+","+",NA,NA,-0.613062064679157,0.0486631134148291,NA,-0.0961670779020861,"+","+",NA,NA,13,-769.684813338739,1567.30579689024,11.5715302845506,0.000837077199688185
"11482",7.33990956369957,-0.0323760935703906,NA,NA,"+","+",NA,-0.0726495505338781,0.238544399159006,0.05132447752772,NA,NA,"+","+",NA,-0.0738114832907715,13,-769.69012422006,1567.31641865289,11.5821520471934,0.000832643366226962
"11353",6.95671537354307,NA,NA,NA,"+","+",NA,-0.0640558604960776,0.289041979228739,NA,NA,NA,"+","+",NA,-0.0605408051498282,11,-772.080928725586,1567.55133113538,11.8170645296889,0.000740369345679277
"8128",5.46666234707936,-0.027102236798278,-0.0112948429002909,0.0539967967327943,"+","+",0.0352170253993172,NA,0.315331133489776,0.0429131334596214,-0.0725069973128254,-0.0911337404188748,"+","+",0.12228621463619,NA,17,-765.271115174379,1567.86831730528,12.1340506995864,0.000631852570567358
"13417",5.80611800980097,NA,NA,NA,"+",NA,0.0269671748309039,-0.0146549218698186,1.52751630076514,NA,NA,NA,"+",NA,0.101672057541095,-0.111870666577618,11,-772.258658774937,1567.90679123408,12.1725246283909,0.000619813811008226
"6967",3.07417328408748,NA,0.0028868404899087,0.26965684112696,NA,"+",-0.00115186806649013,NA,2.48666751600166,NA,-0.0938747893530585,-0.248942575125329,NA,"+",0.115911197059698,NA,11,-772.265794411558,1567.92106250733,12.1867959016338,0.000615406787040189
"6451",5.10356162248634,NA,0.00720716612980401,NA,NA,"+",-0.0215411931922011,NA,0.651280032872419,NA,-0.101809340323298,NA,NA,"+",0.119621498914354,NA,9,-774.49699354043,1567.93148708086,12.1972204751658,0.000612207455548267
"15868",7.26440057787334,-0.0324769970069853,-0.0106672160966484,NA,"+","+",0.0313721474484646,-0.0613331421305764,0.49003778628183,0.0452114344728677,-0.072426517298343,NA,"+","+",0.116375197772938,-0.0415818844230827,17,-765.341627242142,1568.00934144081,12.275074835112,0.000588833831852505
"9934",4.8439166078745,-0.0176730768141098,NA,0.074230657246831,"+",NA,NA,0.00625548789968497,3.7438384196949,0.0457185118678665,NA,-0.136953053037794,"+",NA,NA,-0.176574290097478,13,-770.085043537797,1568.10625728836,12.3719906826664,0.000560980474988764
"13159",2.8641382980826,NA,0.00286908558400946,0.272693083782702,NA,NA,-5.66914347037782e-05,0.00856110635511433,5.71188069572665,NA,-0.0918770760223492,-0.284538967312036,NA,NA,0.101823208274607,-0.130493129606062,11,-772.394781144227,1568.17903597266,12.4447693669706,0.000540933720727815
"11095",2.77687104374547,NA,0.00254284751602136,0.274372018360976,NA,"+",NA,0.011966682593509,4.39447636002986,NA,-0.0942901440763809,-0.273523176886559,NA,"+",NA,-0.0780082050438473,11,-772.409106501637,1568.20768668748,12.4734200817909,0.000533239891841709
"12256",7.23086949895819,-0.0332142681818677,-0.00991988569194069,0.0057486306965669,"+","+",NA,-0.0629457050388047,2.18496461862823,0.0419011280696727,-0.0720957095068536,-0.109995826302214,"+","+",NA,-0.0785996042924725,17,-765.451364336489,1568.2288156295,12.4945490238065,0.00052763614688321
"10579",7.08729702628826,NA,0.00930116964741377,NA,NA,"+",NA,-0.0910965245460609,1.19301049747889,NA,-0.102761447887042,NA,NA,"+",NA,-0.024801023424571,9,-774.660482057779,1568.25846411556,12.524197509865,0.0005198720311651
"13546",5.77785055956051,-0.0213360706824345,NA,NA,"+",NA,0.0205939293004486,-0.00865241377875983,2.07596399850104,0.0490050962245576,NA,NA,"+",NA,0.10367235701283,-0.150054004882037,13,-770.215472377065,1568.3671149669,12.6328483612024,0.000492383193393171
"12643",6.71623355582112,NA,0.009073681562969,NA,NA,NA,-0.0245836525458107,-0.0753024213120317,2.92487209449426,NA,-0.100128401717877,NA,NA,NA,0.118371429316291,-0.0982648493826741,9,-774.734706954202,1568.4069139084,12.6726473027115,0.000482681874128173
"5806",4.96810713892573,-0.0160779526645424,NA,0.0753390041435608,"+",NA,0.0228218368208536,NA,-0.248540703128909,0.0428720475090727,NA,-0.10876204459297,"+",NA,0.144209421707144,NA,13,-770.449617467578,1568.83540514792,13.1011385422285,0.000389596727150117
"7096",3.97696857703473,-0.0362810977836188,-0.000369450615641172,0.18878381319879,NA,"+",-0.00495647609185201,NA,1.44888185216845,0.044748397227978,-0.0877294562541443,-0.167036842659637,NA,"+",0.11710081279084,NA,13,-770.459138439008,1568.85444709078,13.1201804850891,0.000385904990190246
"14320",4.45519408542358,-0.0157403305595477,-0.00922385710404107,0.0900904935933109,"+",NA,0.0292263417396357,0.0243054800595624,4.17919549380819,0.0394434858422534,-0.0710687780629099,-0.126814950984977,"+",NA,0.102336210383619,-0.15639489956531,17,-765.897819790946,1569.12172653841,13.3874599327205,0.000337630288543906
"11224",4.86170043163937,-0.0390611107616121,0.000427098508034327,0.169870722359168,NA,"+",NA,-0.0331401698569077,3.40450504805604,0.0442086887297052,-0.0878476414786939,-0.191228787279388,NA,"+",NA,-0.0802337886035383,13,-770.60500107387,1569.14617236051,13.4119057548132,0.000333528582023412
"13288",3.8052855955845,-0.0315676622679318,0.000472689917213468,0.194522821730354,NA,NA,-0.00703763559515742,0.00242711438555944,5.3902621305219,0.0412298503901337,-0.0859150264409196,-0.210878277829824,NA,NA,0.101916791395177,-0.157282147711159,13,-770.8175958111,1569.57136183497,13.837095229273,0.000269652428448867
"14836",7.81304759733347,-0.0586426021986882,0.0021356673583207,NA,NA,"+",-0.0193099058282975,-0.102858150898551,0.800154932486734,0.0502294697337165,-0.0911127444342755,NA,NA,"+",0.118450328257991,-0.0288579481026505,13,-771.193523108298,1570.32321642936,14.5889498236693,0.0001851574474594
"130",5.48819147097078,-0.0517922761822698,NA,NA,NA,NA,NA,NA,-0.64068056268821,0.0676579896997612,NA,NA,NA,NA,NA,NA,5,-780.097851143812,1570.5018247366,14.7675581309102,0.000169338958331798
"7741",4.71235600903924,NA,NA,0.107469050488402,"+","+",0.0354221316540247,NA,0.203893025848069,NA,NA,-0.154574540861769,"+","+",0.117613281765497,NA,13,-771.383104858755,1570.70237993028,14.9681133245836,0.000153181697172632
"16255",5.33498886101094,NA,-0.00938147148110992,0.0971987175851959,"+","+",0.0393807596888606,-0.0183446153145403,2.41609813982795,NA,-0.0749779960299365,-0.156914999815747,"+","+",0.105591581275344,-0.0566786866503793,17,-766.778167307456,1570.88242157143,15.1481549657403,0.000139994615259637
"11869",5.63624953067563,NA,NA,0.0857770348288762,"+","+",NA,-0.0350646943936757,2.32734791921434,NA,NA,-0.174865115735516,"+","+",NA,-0.089463129389098,13,-771.529591950659,1570.99535411408,15.2610875083897,0.000132308681412977
"13933",4.18437559651265,NA,NA,0.117598434690795,"+",NA,0.0300794616079571,0.0172850927836312,3.32772210181674,NA,NA,-0.183496431975556,"+",NA,0.0949597903709022,-0.127790654544741,13,-771.578193500696,1571.09255721416,15.3582906084641,0.000126032037194012
"646",3.91785794784151,-0.0317131538563797,NA,0.187645511351126,NA,NA,NA,NA,1.58497590440276,0.0549973127177787,NA,-0.281987778707282,NA,NA,NA,NA,7,-778.297069486745,1571.17145856112,15.4371919554264,0.00012115678668996
"7870",5.26827624728398,-0.025521696833461,NA,0.0567463510511511,"+","+",0.0302198588396947,NA,-0.615622750543706,0.049203983964337,NA,-0.09323460652447,"+","+",0.124677920669336,NA,15,-769.402858621643,1571.38636240458,15.6520957988828,0.000108813297091349
"15610",7.29943495299026,-0.0314405721125854,NA,NA,"+","+",0.0263321792326701,-0.0703852292830817,-0.181992624451572,0.0516784191003537,NA,NA,"+","+",0.113809611317322,-0.0539375284108986,15,-769.447163563715,1571.47497228872,15.7407056830266,0.000104097566709093
"11998",7.26843644185499,-0.03207163208905,NA,0.00462932641554298,"+","+",NA,-0.0711178786522408,1.60607729453445,0.0482666515058185,NA,-0.115089265340963,"+","+",NA,-0.0931386389286153,15,-769.497419316013,1571.57548379332,15.8412171876221,9.89953469472865e-05
"15481",6.90623739269478,NA,NA,NA,"+","+",0.0322941703136124,-0.0610055346109843,-0.106302709084953,NA,NA,NA,"+","+",0.10880295057438,-0.0417382918838433,13,-771.836227068962,1571.60862435069,15.874357744997,9.73684824827927e-05
"14707",7.16824781308248,NA,0.00908513204109799,NA,NA,"+",-0.0237100456647329,-0.0947516698449897,0.787322071010997,NA,-0.101172256578567,NA,NA,"+",0.121251315443937,-0.0063532876475482,11,-774.357777535436,1572.10502875508,16.3707621493897,7.59671011995375e-05
"517",3.13003204864681,NA,NA,0.266981763776647,NA,NA,NA,NA,2.88664475200685,NA,NA,-0.404647690587754,NA,NA,NA,NA,5,-780.903308590713,1572.11273963041,16.3784730247121,7.56747786543375e-05
"14062",4.63072977278052,-0.015694757090843,NA,0.0830898695806209,"+",NA,0.0245132987507182,0.0127391715545475,3.33870424936487,0.0461614892268992,NA,-0.130508847320365,"+",NA,0.0985338198742605,-0.159818259510617,15,-769.890363667321,1572.36137249593,16.6271058902394,6.68284238775414e-05
"15223",2.80034825293373,NA,0.0026461981341547,0.274084583618593,NA,"+",-0.000325864954670415,0.0110168033312266,3.91074280114317,NA,-0.0934507575841537,-0.263586968945982,NA,"+",0.105718032560711,-0.0593426363401667,13,-772.217955298736,1572.37208081024,16.6378142045442,6.64715701717579e-05
"2194",5.56103249199117,-0.0559314179495895,NA,NA,NA,"+",NA,NA,-0.911503986749722,0.0742934121450895,NA,NA,NA,"+",NA,NA,7,-778.94648565763,1572.47029090289,16.7360242971954,6.3286326433738e-05
"16384",6.97091603787855,-0.0311637674620217,-0.0106208826612349,0.0176493729922844,"+","+",0.0320200028346756,-0.0547227595520099,1.68658249493313,0.0424589884820693,-0.0720431935810941,-0.102230095939599,"+","+",0.111900694584833,-0.0581475379073347,19,-765.190818686807,1572.55746154944,16.8231949437438,6.0587219436005e-05
"15352",4.94917823915662,-0.0393893651085071,0.00046020197391582,0.166627994756257,NA,"+",-0.00687903801285963,-0.0359024604425607,2.92252155368344,0.0443676173935081,-0.0871124154905403,-0.181566510163409,NA,"+",0.10789590937902,-0.0615808486206724,15,-770.399396612761,1573.37943838681,17.6451717811192,4.01689999151366e-05
"8386",6.3941531004607,-0.0512778806706382,NA,NA,NA,NA,NA,-0.0420750302209088,2.73133584906124,0.0717711326477133,NA,NA,NA,NA,NA,-0.157673025646878,7,-779.463526451291,1573.50437249021,17.770105884518,3.77365265743709e-05
"2710",4.02709453674031,-0.0359605005753795,NA,0.181580896305176,NA,"+",NA,NA,1.19662780729815,0.061897592684434,NA,-0.264511104119311,NA,"+",NA,NA,9,-777.361247976686,1573.65999595337,17.9257293476792,3.49115167800107e-05
"4258",5.48864568708616,-0.0518928260862173,NA,NA,NA,NA,-0.0207680256195261,NA,-0.636347239361749,0.067934876316445,NA,NA,NA,NA,0.170732497389223,NA,7,-779.550930025435,1573.6791796385,17.9449130328053,3.45782518747934e-05
"8902",3.8827477951033,-0.0317125674052574,NA,0.188551666433616,NA,NA,NA,0.00131095605117376,6.057495343089,0.0581181937859894,NA,-0.326955866404313,NA,NA,NA,-0.192444306349033,9,-777.448046825691,1573.83359365138,18.0993270456884,3.20090258059244e-05
"4774",3.93423608144391,-0.0320955432337415,NA,0.185964024614583,NA,NA,-0.0077770788520009,NA,1.51174385402871,0.0555554816271252,NA,-0.271913977599329,NA,NA,0.162929527020146,NA,9,-777.873662427754,1574.68482485551,18.9505582498143,2.09136554703086e-05
"8773",2.86512491217214,NA,NA,0.271489466794776,NA,NA,NA,0.01065366386282,6.80240328083931,NA,NA,-0.454881299550565,NA,NA,NA,-0.163738021499971,7,-780.269261355468,1575.11584229856,19.3815756928714,1.68591510074012e-05
"15997",5.48153504433404,NA,NA,0.0920097078038857,"+","+",0.0344015617024594,-0.0294402163834412,1.89270923676738,NA,NA,-0.16945304338098,"+","+",0.101620913913333,-0.0709086857775925,15,-771.302515803722,1575.18567676873,19.4514101630416,1.62806349358556e-05
"2581",3.13022421951142,NA,NA,0.267640685373358,NA,"+",NA,NA,2.7329336890665,NA,NA,-0.402515928544187,NA,"+",NA,NA,7,-780.49054097011,1575.55840152785,19.8241349221562,1.35124837615681e-05
