"Month","Region","Above
Normal_base","Above
Normal_60 days continuous","Above
Normal_60 days continuous, followed by 100 TAF","Above
Normal_60 days, 7 days-on/ 7 days-off","Below
Normal_base","Below
Normal_60 days continuous","Below
Normal_60 days continuous, followed by 100 TAF","Below
Normal_60 days, 7 days-on/ 7 days-off","Dry_base","Dry_60 days continuous","Dry_60 days continuous, followed by 100 TAF","Dry_60 days, 7 days-on/ 7 days-off","Wet_base","Wet_100 TAF continuous starting Aug 15","Wet_100 TAF continuous starting July1","Metric"
7,"Suisun Marsh",0,10.4254569628932,10.4227939427488,7.12684210783742,0,110.474018812161,110.492277234666,95.4481435018242,0,195.770330533069,195.725855863249,168.038620841574,0,0.0370761767920413,0.800244357448371,"Percent"
8,"Suisun Marsh",0,23.8162550135402,23.9034398542355,16.2168412916702,0,124.153980894285,141.074196809755,121.675924696196,0,1025.16239501528,1158.42070353478,958.999800426185,0,0.36281659605815,0.795518246880095,"Percent"
9,"Suisun Marsh",0,18.076396529564,31.0279046269875,25.988824198355,0,58.3430136909887,189.019042925266,163.376226015867,0,174.544443495179,1295.96226698981,652.016399380432,0,0.886619598861028,0.167669322062056,"Percent"
10,"Suisun Marsh",0,5.22033276476573,46.5884052811737,39.346455597934,0,45.4934030242375,638.874122708085,287.965690693629,0,25.6826658033597,3958.09728884271,1936.59045796725,0,14.9734155483554,2.36962176482108,"Percent"
6,"Suisun Marsh",NA,NA,NA,NA,0,29.7303079775473,29.7303079775473,21.0799111147967,0,97.7231193757878,97.759458057789,71.6801195586865,NA,NA,NA,"Percent"
7,"Suisun Bay",0,-0.0755910445438806,-0.0947067231308433,0.296238440081693,0,-6.88123953868101,-6.88462778913799,-4.1138272612421,0,-31.6653236805962,-31.6065013275875,-15.612081035615,0,-0.0283048268845199,0.8735743425282,"Percent"
8,"Suisun Bay",0,5.64617101992683,5.42260600537975,1.55019677747814,0,0.238446893378108,-3.29098614472014,-1.83421462812262,0,-54.6446128771082,-54.734351504502,-35.1445503513752,0,-0.134190700951355,3.06326869391357,"Percent"
9,"Suisun Bay",0,5.66028294185839,7.01311014485608,2.19353239765299,0,7.39210970675644,-16.9184537193468,-6.79018815055086,0,65.5009403480738,-97.9505103484581,-88.907649273939,0,2.61561351620048,2.51023753756662,"Percent"
10,"Suisun Bay",0,1.26974441552606,5.85397422191962,2.76487827921941,0,8.89976283832994,-39.2504445046467,6.9482964589034,0,0,0,0,0,4.59781685136365,1.01342596194977,"Percent"
6,"Suisun Bay",NA,NA,NA,NA,0,-7.37445857739751,-7.37445857739751,-6.1390691551473,0,-10.9207770409698,-11.0640217788952,-2.41386618759387,NA,NA,NA,"Percent"
7,"Grizzly Bay",0,24.8950416477244,24.6700200028144,10.5833181566249,0,162.743784470332,163.368479834858,56.3665959351731,0,0,0,0,0,-0.0768207342454303,3.20952625330742,"Percent"
8,"Grizzly Bay",0,15376392.0675278,15752514.8942873,6460191.4200079,0,0,0,0,0,0,0,0,0,1.9398031268635,10.8990857480574,"Percent"
9,"Grizzly Bay",0,26.4151365373523,64.4359830965489,27.1378534323809,0,0,0,0,0,0,0,0,0,8.07188596661936,4.83338437685326,"Percent"
10,"Grizzly Bay",0,32.6988530615137,129.07994320263,61.8338592397162,0,0,0,0,0,0,0,0,0,47.1835577493783,6.54453507215422,"Percent"
6,"Grizzly Bay",NA,NA,NA,NA,0,2581.17433329588,2581.17433329588,0.639997466676769,0,0,0,0,NA,NA,NA,"Percent"
7,"Suisun Marsh",4233.57495482488,4674.94448973197,4674.83174877809,4535.29515737219,2152.48697041634,4530.42583104342,4530.81884120884,4206.9958227974,1417.45661160139,4192.41610529626,4191.78569614841,3799.33115276406,4778.93080153613,4780.70264636888,4817.17392562179,"area"
8,"Suisun Marsh",3753.10805475647,4646.95784001099,4650.22998128965,4361.74363150122,1964.18394865002,4402.79651298558,4735.14067807417,4354.12293090419,308.642910384309,3472.73396252497,3884.02628426843,3268.5278049994,4776.01930327571,4793.34749393894,4814.01340830779,"area"
