"Month","YT","Year","region","scenario","MetersSquared","Acres","Percent","Region"
8,"Dry","2020","Suisun Marsh","base",1249035.47230655,308.642910384309,0,"Suisun Marsh"
8,"Dry","2020","Suisun Marsh","60 days continuous",14053677.4347948,3472.73396252497,1025.16239501528,"Suisun Marsh"
8,"Dry","2020","Suisun Marsh","60 days continuous, followed by 100 TAF",15718120.977999,3884.02628426843,1158.42070353478,"Suisun Marsh"
8,"Dry","2020","Suisun Marsh","60 days, 7 days-on/ 7 days-off",13227283.1589786,3268.5278049994,958.999800426185,"Suisun Marsh"
9,"Dry","2020","Suisun Marsh","base",997326.055759691,246.444255008499,0,"Suisun Marsh"
9,"Dry","2020","Suisun Marsh","60 days continuous",2738103.26961786,676.599008438922,174.544443495179,"Suisun Marsh"
9,"Dry","2020","Suisun Marsh","60 days continuous, followed by 100 TAF",13922295.4172631,3440.26880908279,1295.96226698981,"Suisun Marsh"
9,"Dry","2020","Suisun Marsh","60 days, 7 days-on/ 7 days-off",7500055.49460691,1853.30121299484,652.016399380432,"Suisun Marsh"
10,"Dry","2020","Suisun Marsh","base",133489.824012856,32.9860029626967,0,"Suisun Marsh"
10,"Dry","2020","Suisun Marsh","60 days continuous",167773.569395571,41.4576878654925,25.6826658033597,"Suisun Marsh"
10,"Dry","2020","Suisun Marsh","60 days continuous, followed by 100 TAF",5417146.9291466,1338.60409192677,3958.09728884271,"Suisun Marsh"
10,"Dry","2020","Suisun Marsh","60 days, 7 days-on/ 7 days-off",2718641.01820309,671.789788803075,1936.59045796725,"Suisun Marsh"
7,"Wet","2017","Suisun Marsh","base",19339676.6618892,4778.93080153613,0,"Suisun Marsh"
7,"Wet","2017","Suisun Marsh","100 TAF continuous starting Aug 15",19346847.0745994,4780.70264636888,0.0370761767920413,"Suisun Marsh"
7,"Wet","2017","Suisun Marsh","100 TAF continuous starting July1",19494441.3331247,4817.17392562179,0.800244357448371,"Suisun Marsh"
8,"Wet","2017","Suisun Marsh","base",19327894.2282662,4776.01930327571,0,"Suisun Marsh"
