# SCHISM Model Output at Beldons Landing,
# 2022 Summer-fall alternatives 
# Units: psu
# Terms:
# bn: below normal year classification
# dry: dry year classification
# bdl: Beldons Landing
# smscg4: 4psu trigger at BDL
# smscg6: 6psu trigger at BDL
datetime,bdl_bn_noact,bdl_bn_smscg4,bdl_bn_smscg6,bdl_dry_noact
2021-12-06T00:15,11.93,11.93,11.93,11.93
2021-12-06T00:30,12.00,12.00,12.00,12.00
2021-12-06T00:45,12.08,12.08,12.08,12.08
2021-12-06T01:00,12.18,12.18,12.18,12.18
2021-12-06T01:15,12.25,12.25,12.25,12.25
2021-12-06T01:30,12.31,12.31,12.31,12.31
2021-12-06T01:45,12.35,12.35,12.35,12.35
2021-12-06T02:00,12.39,12.39,12.39,12.39
2021-12-06T02:15,12.43,12.43,12.43,12.43
2021-12-06T02:30,12.46,12.46,12.46,12.46
2021-12-06T02:45,12.49,12.49,12.49,12.49
2021-12-06T03:00,12.50,12.50,12.50,12.50
2021-12-06T03:15,12.51,12.51,12.51,12.51
2021-12-06T03:30,12.51,12.51,12.51,12.51
2021-12-06T03:45,12.51,12.51,12.51,12.51
2021-12-06T04:00,12.51,12.51,12.51,12.51
2021-12-06T04:15,12.51,12.51,12.51,12.51
2021-12-06T04:30,12.51,12.51,12.51,12.51
2021-12-06T04:45,12.51,12.51,12.51,12.51
2021-12-06T05:00,12.51,12.51,12.51,12.51
2021-12-06T05:15,12.51,12.51,12.51,12.51
2021-12-06T05:30,12.51,12.51,12.51,12.51
2021-12-06T05:45,12.52,12.52,12.52,12.52
2021-12-06T06:00,12.52,12.52,12.52,12.52
2021-12-06T06:15,12.52,12.52,12.52,12.52
2021-12-06T06:30,12.53,12.53,12.53,12.53
2021-12-06T06:45,12.53,12.53,12.53,12.53
2021-12-06T07:00,12.53,12.53,12.53,12.53
2021-12-06T07:15,12.54,12.54,12.54,12.54
2021-12-06T07:30,12.54,12.54,12.54,12.54
2021-12-06T07:45,12.55,12.55,12.55,12.55
2021-12-06T08:00,12.56,12.56,12.56,12.56
2021-12-06T08:15,12.58,12.58,12.58,12.58
2021-12-06T08:30,12.59,12.59,12.59,12.59
2021-12-06T08:45,12.61,12.61,12.61,12.61
2021-12-06T09:00,12.62,12.62,12.62,12.62
2021-12-06T09:15,12.62,12.62,12.62,12.62
2021-12-06T09:30,12.62,12.62,12.62,12.62
2021-12-06T09:45,12.61,12.61,12.61,12.61
2021-12-06T10:00,12.61,12.61,12.61,12.61
2021-12-06T10:15,12.60,12.60,12.60,12.60
2021-12-06T10:30,12.59,12.59,12.59,12.59
2021-12-06T10:45,12.60,12.60,12.60,12.60
2021-12-06T11:00,12.64,12.64,12.64,12.64
2021-12-06T11:15,12.71,12.71,12.71,12.71
2021-12-06T11:30,12.81,12.81,12.81,12.81
2021-12-06T11:45,12.94,12.94,12.94,12.94
2021-12-06T12:00,13.10,13.10,13.10,13.10
2021-12-06T12:15,13.26,13.26,13.26,13.26
2021-12-06T12:30,13.44,13.44,13.44,13.44
2021-12-06T12:45,13.62,13.62,13.62,13.62
2021-12-06T13:00,13.81,13.81,13.81,13.81
2021-12-06T13:15,14.01,14.01,14.01,14.01
2021-12-06T13:30,14.21,14.21,14.21,14.21
2021-12-06T13:45,14.40,14.40,14.40,14.40
2021-12-06T14:00,14.58,14.58,14.58,14.58
2021-12-06T14:15,14.73,14.73,14.73,14.73
