Nick_Addition,Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Authority,Authority Source,Synonym(s),Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
x,Chromista,Bacillariophyta,Bacillariophyceae,Mayamaea,,,,www.algaebase.org,,,,,,,
x,Chromista,Bacillariophyta,Bacillariophyceae,Stauroforma,Stauroforma sp.,,,www.algaebase.org,,,,,,,
x,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariforma,Fragilariforma sp.,,,www.algaebase.org,,,,,,,
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes brevipes,Monoraphid Pennate Diatom,Agardh,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,brackish to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes delicatula,Monoraphid Pennate Diatom,Kützing,www.algaebase.org,Planothidium delicatulum, (Kützing) Round & L. Bukhtiyarova,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,brackish to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes exigua,Monoraphid Pennate Diatom,Grunow,www.algaebase.org,Lemnicola exigua,"(Grunow) Kulikovskiy, Witkowski and Plinski",www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes gibberula,Monoraphid Pennate Diatom,Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes lanceolata,Monoraphid Pennate Diatom,(Brébisson ex Kützing) Grunow,www.algaebase.org,Planothidium lanceolatum,(Brébisson ex Kützing) Lange-Bertalot,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes linearis,Monoraphid Pennate Diatom,(W. Smith) Grunow,www.algaebase.org,Achnanthidium lineare,W. Smith,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes minutissima,Monoraphid Pennate Diatom,Kützing,www.algaebase.org,Achnanthidium minutissimum,(Kützing) Czarnecki,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes sp.,Monoraphid Pennate Diatom,Bory de St.-Vincent,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,Achnanthes temperei,Monoraphid Pennate Diatom,M. Peragallo,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthidium,Achnanthidium exiguum,Monoraphid Pennate Diatom,(Grunow) D.B. Czarnecki,www.algaebase.org,Lemnicola exigua,"(Grunow) Kulikovskiy, Witkowski and Plinski",www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthidium,Achnanthidium minutissimum,Monoraphid Pennate Diatom,(Kutzing) Czarnecki,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthidium,Achnanthidium sp.,Monoraphid Pennate Diatom,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater to marine
