accepted.name,input.name,input.match,currently.accepted,genus.only,kingdom,phylum,class,order,family,genus,species,infrasp,long.name,taxonomic.status,taxon.rank,mod.date,authorship
Navicula pupula var. baicalensis,Navicula pupula,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,pupula,baicalensis,Navicula pupula var. baicalensis Skvortsov & K.I.Meyer,currently accepted taxonomically,variety,2023-05-31,Skvortsov & K.I.Meyer
Fallacia pygmaea,Navicula pygmaea,1,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,pygmaea,NA,Navicula pygmaea Kützing,homotypic or heterotypic synonym,species,2021-12-07,Kützing
Navicula radiosa f. divergentissima,Navicula radiosa,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,radiosa,divergentissima,Navicula radiosa f. divergentissima Manguin,currently accepted taxonomically,forma,2023-04-11,Manguin
Navicula subrostellata,Navicula rostellata,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,subrostellata,NA,Navicula subrostellata Hustedt,currently accepted taxonomically,species,2023-02-17,Hustedt
Navicula,Navicula,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,NA,NA,"Navicula Bory, 1822",currently accepted taxonomically,genus,2019-02-06,Bory
NA,Navicula tripunctata,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,tripunctata,constricta,Navicula tripunctata f. constricta (Frenguelli) Luchini,uncertain taxonomic status subjected to verification,forma,2022-09-27,(Frenguelli) Luchini
Navicula trivialis,Navicula trivialis,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,trivialis,NA,Navicula trivialis Lange-Bertalot,currently accepted taxonomically,species,2022-11-28,Lange-Bertalot
Navicula viridula,Navicula viridula,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,viridula,NA,Navicula viridula (Kützing) Ehrenberg,currently accepted taxonomically,species,2023-01-19,(Kützing) Ehrenberg
Navicula viridula,Navicula viridula,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,viridula,NA,Navicula viridula (Kützing) Ehrenberg,currently accepted taxonomically,species,2023-01-19,(Kützing) Ehrenberg
Navigeia decussis,Navigeia decussis,1,1,0,Chromista,Bacillariophyta,Bacillariophyta classis incertae sedis,Bacillariophyta ordo incertae sedis,Bacillariophyta familia incertae sedis,Navigeia,decussis,NA,Navigeia decussis (Østrup) Bukhtiyarova,currently accepted taxonomically,species,2017-09-20,(Østrup) Bukhtiyarova
Neidium affine,Neidium affine,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,affine,NA,Neidium affine (Ehrenberg) Pfitzer,currently accepted taxonomically,species,2023-05-31,(Ehrenberg) Pfitzer
Neidium apiculatum,Neidium apiculatum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,apiculatum,NA,Neidium apiculatum Reimer,currently accepted taxonomically,species,2018-06-21,Reimer
Neidium bisulcatum,Neidium bisulcatum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,bisulcatum,NA,Neidium bisulcatum (Lagerstedt) Cleve,currently accepted taxonomically,species,2023-05-31,(Lagerstedt) Cleve
Neidium dubium var. baikalense,Neidium dubium,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,dubium,baikalense,Neidium dubium var. baikalense Skvortsov,currently accepted taxonomically,variety,2023-05-31,Skvortsov
Neidium dubium,Neidium dubium,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,dubium,NA,Neidium dubium (Ehenberg) Cleve,currently accepted taxonomically,species,2023-05-31,(Ehenberg) Cleve
Neidium,Neidium,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,NA,NA,"Neidium Pfitzer, 1871",currently accepted taxonomically,genus,2016-07-28,Pfitzer
Nitzschia acicularis var. closterioides,Nitzschia acicularis,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,acicularis,closterioides,Nitzschia acicularis var. closterioides Grunow,currently accepted taxonomically,variety,2023-02-03,Grunow
Nitzschia amphibia var. thermalis,Nitzschia amphibia,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,amphibia,thermalis,Nitzschia amphibia var. thermalis Grunow,currently accepted taxonomically,variety,2023-04-27,Grunow
NA,Nitzschia amphibia,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,amphibia,thermalis,Nitzschia amphibia var. thermalis J.B.Petersen,uncertain taxonomic status subjected to verification,variety,2023-04-27,J.B.Petersen
Tryblionella angustata W.Smith,Nitzschia angustata,1,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,angustata,NA,Nitzschia angustata (W.Smith) Grunow,homotypic or heterotypic synonym,species,2022-07-05,(W.Smith) Grunow
NA,Nitzschia apiculata,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,apiculata,latostriata,Nitzschia apiculata var. latostriata Skortzov,uncertain taxonomic status subjected to verification,variety,2021-09-21,Skortzov
Nitzschia brevissima,Nitzschia brevissima,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,brevissima,NA,Nitzschia brevissima Grunow,currently accepted taxonomically,species,2022-07-05,Grunow
Nitzschia frequens Hustedt,Nitzschia capitellata,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,capitellata,frequens,Nitzschia capitellata var. frequens (Hustedt) Lange-Bertalot,homotypic or heterotypic synonym,variety,2023-02-15,(Hustedt) Lange-Bertalot
Nitzschia dissipata,Nitzschia dissipata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,dissipata,NA,Nitzschia dissipata (Kützing) Rabenhorst,currently accepted taxonomically,species,2023-01-19,(Kützing) Rabenhorst
Nitzschia sigma,Nitzschia sigma,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigma,NA,Nitzschia sigma (Kützing) W.Smith,currently accepted taxonomically,species,2023-03-30,(Kützing) W.Smith
Nitzschia thermaloides,Nitzschia thermaloides,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,thermaloides,NA,Nitzschia thermaloides Hustedt,currently accepted taxonomically,species,2023-02-16,Hustedt
Nitzschia clausii,Nitzschia clausii,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,clausii,NA,Nitzschia clausii Hantzsch,currently accepted taxonomically,species,2023-01-19,Hantzsch
Nitzschia denticula var. baikalensis,Nitzschia denticula,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,denticula,baikalensis,Nitzschia denticula var. baikalensis Skvortsov,currently accepted taxonomically,variety,2023-06-05,Skvortsov
Nitzschia dissipata,Nitzschia dissipata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,dissipata,NA,Nitzschia dissipata (Kützing) Rabenhorst,currently accepted taxonomically,species,2023-01-19,(Kützing) Rabenhorst
Nitzschia filiformis,Nitzschia filiformis,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,filiformis,NA,Nitzschia filiformis (W.Smith) Van Heurck,currently accepted taxonomically,species,2023-01-19,(W.Smith) Van Heurck
Nitzschia fonticola,Nitzschia fonticola,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,fonticola,NA,Nitzschia fonticola (Grunow) Grunow,currently accepted taxonomically,species,2022-07-05,(Grunow) Grunow
Nitzschia frustulum,Nitzschia frustulum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,frustulum,NA,Nitzschia frustulum (Kützing) Grunow,currently accepted taxonomically,species,2023-01-19,(Kützing) Grunow
Nitzschia fruticosa,Nitzschia fruticosa,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,fruticosa,NA,Nitzschia fruticosa Hustedt,currently accepted taxonomically,species,2023-02-15,Hustedt
Nitzschia gracilis,Nitzschia gracilis,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,gracilis,NA,Nitzschia gracilis Hantzsch,currently accepted taxonomically,species,2023-01-19,Hantzsch
Nitzschia incerta,Nitzschia incerta,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,incerta,NA,Nitzschia incerta (Grunow) M.Peragallo,currently accepted taxonomically,species,2020-01-02,(Grunow) M.Peragallo
Nitzschia inconspicua,Nitzschia inconspicua,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,inconspicua,NA,Nitzschia inconspicua Grunow,currently accepted taxonomically,species,2023-01-19,Grunow
Nitzschia lacunarum,Nitzschia lacunarum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,lacunarum,NA,Nitzschia lacunarum Hustedt,currently accepted taxonomically,species,2020-08-27,Hustedt
Nitzschia impressa Hustedt,Nitzschia linearis,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,linearis,impressa,Nitzschia linearis var. impressa (Hustedt) Lange-Bertalot,homotypic or heterotypic synonym,variety,2023-02-17,(Hustedt) Lange-Bertalot
NA,Nitzschia longissima,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,longissima,costata,Nitzschia longissima f. costata Hustedt,uncertain taxonomic status subjected to verification,forma,2023-04-08,Hustedt
Nitzschia incurva,Nitzschia lorenziana,1,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,lorenziana,NA,Nitzschia lorenziana Grunow,homotypic or heterotypic synonym,species,2023-03-25,Grunow
NA,Nitzschia palea,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,paleacea,baikalensis,Nitzschia paleacea var. baikalensis (Skvortsov) Skvortsov,uncertain taxonomic status subjected to verification,variety,2023-06-05,(Skvortsov) Skvortsov
Nitzschia parvula,Nitzschia parvula,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,parvula,NA,Nitzschia parvula W.Smith,currently accepted taxonomically,species,2023-04-27,W.Smith
Nitzschia pura,Nitzschia pura,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,pura,NA,Nitzschia pura Hustedt,currently accepted taxonomically,species,2023-02-17,Hustedt
Nitzschia recta,Nitzschia recta,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,recta,NA,Nitzschia recta Hantzsch ex Rabenhorst,currently accepted taxonomically,species,2023-01-19,Hantzsch ex Rabenhorst
Nitzschia sigma,Nitzschia sigma,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigma,NA,Nitzschia sigma (Kützing) W.Smith,currently accepted taxonomically,species,2023-03-30,(Kützing) W.Smith
Nitzschia sigmoidea,Nitzschia sigmoidea,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigmoidea,NA,Nitzschia sigmoidea (Nitzsch) W.Smith,currently accepted taxonomically,species,2022-12-02,(Nitzsch) W.Smith
Nitzschia sinuata,Nitzschia sinuata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sinuata,NA,Nitzschia sinuata (Thwaites ex W.Smith) Grunow,currently accepted taxonomically,species,2023-01-13,(Thwaites ex W.Smith) Grunow
Nitzschia sociabilis,Nitzschia sociabilis,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sociabilis,NA,Nitzschia sociabilis Hustedt,currently accepted taxonomically,species,2023-02-15,Hustedt
Allonitzschia,Nitzschia,0,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Allonitzschia,NA,NA,"Allonitzschia A.Mann, 1925",currently accepted taxonomically,genus,2021-07-14,A.Mann
NA,Nitzschia tryblionella,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,tryblionella,subconstricta,Nitzschia tryblionella f. subconstricta Hustedt,uncertain taxonomic status subjected to verification,forma,2023-01-12,Hustedt
Nitzschia tubicola,Nitzschia tubicola,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,tubicola,NA,Nitzschia tubicola Grunow,currently accepted taxonomically,species,2023-01-19,Grunow
Nitzschia vermicularis,Nitzschia vermicularis,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,vermicularis,NA,Nitzschia vermicularis (Kützing) Hantzsch,currently accepted taxonomically,species,2022-07-04,(Kützing) Hantzsch
Moestrupia,Oestrupia,0,1,1,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Moestrupia,NA,NA,"Moestrupia Gert Hansen & Daugbjerg, 2011",currently accepted taxonomically,genus,2017-05-23,Gert Hansen & Daugbjerg
Chamaepinnularia,Pinnularia,0,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales incertae sedis,Chamaepinnularia,NA,NA,"Chamaepinnularia Lange-Bertalot & Krammer, 1996",currently accepted taxonomically,genus,2017-09-20,Lange-Bertalot & Krammer
Pinnularia sudetica,Pinnularia sudetica,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,sudetica,NA,Pinnularia sudetica Hilse,currently accepted taxonomically,species,2022-07-04,Hilse
Plagiotropis lepidoptera var. proboscidea,Plagiotropis lepidoptera,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Plagiotropidaceae,Plagiotropis,lepidoptera,proboscidea,Plagiotropis lepidoptera var. proboscidea (Cleve) Reimer,currently accepted taxonomically,variety,2023-06-02,(Cleve) Reimer
Planothidium lanceolatum,Planothidium lanceolatum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium,lanceolatum,NA,Planothidium lanceolatum (Brébisson ex Kützing) Lange-Bertalot,currently accepted taxonomically,species,2023-01-19,(Brébisson ex Kützing) Lange-Bertalot
Planothidium dubium,Planothidium dubium,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium,dubium,NA,Planothidium dubium (Grunow) Round & Bukhtiyarova,currently accepted taxonomically,species,2022-07-04,(Grunow) Round & Bukhtiyarova
Achnanthes lanceolata var. minor,Planothidium frequentissimum,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium,frequentissimum,minus,Planothidium frequentissimum var. minus (P.Schulz) Lange-Bertalot,homotypic or heterotypic synonym,variety,2023-01-29,(P.Schulz) Lange-Bertalot
Planothidium rostratum,Planothidium rostratum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium,rostratum,NA,Planothidium rostratum (Østrup) Lange-Bertalot,currently accepted taxonomically,species,2022-07-13,(Østrup) Lange-Bertalot
Planothidium,Planothidium,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Planothidium,NA,NA,"Planothidium Round & L.Bukhtiyarova, 1996",currently accepted taxonomically,genus,2010-08-18,Round & L.Bukhtiyarova
Pleurosigma delicatulum W.Smith,Pleurosigma delicatulum,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,delicatulum,genuinum,Pleurosigma delicatulum var. genuinum Cleve-Euler,homotypic or heterotypic synonym,variety,2021-05-06,Cleve-Euler
Pleurosigma salinarum,Pleurosigma salinarum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,salinarum,NA,Pleurosigma salinarum (Grunow) Grunow,currently accepted taxonomically,species,2021-06-14,(Grunow) Grunow
NA,Pleurosigma,0,0,1,NA,NA,NA,NA,NA,Pseudo-pleurosigma,NA,NA,"Pseudo-pleurosigma Cleve & Grunow, 1880",uncertain taxonomic status subjected to verification,genus,2019-11-08,Cleve & Grunow
Pseudo-nitzschia,Pseudo-nitzschia,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,"Pseudo-nitzschia H.Peragallo, 1900",currently accepted taxonomically,genus,2021-05-04,H.Peragallo
Reimeria sinuata,Reimeria sinuata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,sinuata,NA,Reimeria sinuata (W.Gregory) Kociolek & Stoermer,currently accepted taxonomically,species,2023-01-19,(W.Gregory) Kociolek & Stoermer
Rhoicosphenia abbreviata,Rhoicosphenia abbreviata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,abbreviata,NA,Rhoicosphenia abbreviata (C.Agardh) Lange-Bertalot,currently accepted taxonomically,species,2023-01-19,(C.Agardh) Lange-Bertalot
Rhoicosphenia marina,Rhoicosphenia curvata,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,curvata,marina,Rhoicosphenia curvata var. marina (Kützing) Grunow,homotypic or heterotypic synonym,variety,2021-04-08,(Kützing) Grunow
Rhoicosphenia,Rhoicosphenia,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,NA,NA,"Rhoicosphenia Grunow, 1860",currently accepted taxonomically,genus,2010-04-24,Grunow
Rhopalodia gibba,Rhopalodia gibba,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,gibba,NA,Rhopalodia gibba (Ehrenberg) O.Müller,currently accepted taxonomically,species,2023-03-28,(Ehrenberg) O.Müller
Rhopalodia,Rhopalodia,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,NA,NA,"Rhopalodia O.Müller, 1895, nom. cons.",currently accepted taxonomically,genus,2021-11-23,O.Müller
Sellaphora bacillum,Sellaphora bacillum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,bacillum,NA,Sellaphora bacillum (Ehrenberg) D.G.Mann,currently accepted taxonomically,species,2023-05-29,(Ehrenberg) D.G.Mann
Sellaphora pupula,Sellaphora pupula,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,pupula,NA,Sellaphora pupula (Kützing) Mereschkovsky,currently accepted taxonomically,species,2023-05-29,(Kützing) Mereschkovsky
Seminavis,Seminavis,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis,NA,NA,"Seminavis D.G.Mann, 1990",currently accepted taxonomically,genus,2011-10-21,D.G.Mann
Prestauroneis,Stauroneis,0,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Prestauroneis,NA,NA,"Prestauroneis K.Bruder & Medlin, 2008",currently accepted taxonomically,genus,2016-09-12,K.Bruder & Medlin
Stenopterobia,Stenopterobia,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia,NA,NA,"Stenopterobia Brébisson ex Van Heurck, 1896",currently accepted taxonomically,genus,2011-10-21,Brébisson ex Van Heurck
NA,Surirella angustata,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,angustata,apiculata,Surirella angustata var. apiculata Skvortzov,uncertain taxonomic status subjected to verification,variety,2021-09-21,Skvortzov
Iconella bifrons,Surirella bifrons,1,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,bifrons,NA,Surirella bifrons (Ehrenberg) Ehrenberg,homotypic or heterotypic synonym,species,2023-03-28,(Ehrenberg) Ehrenberg
Surirella suecica var. grunowii,Surirella suecica,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,suecica,grunowii,Surirella suecica var. grunowii Cleve-Euler,currently accepted taxonomically,variety,2021-06-22,Cleve-Euler
Surirella librile,Surirella librile,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,librile,NA,Surirella librile (Ehrenberg) Ehrenberg,currently accepted taxonomically,species,2017-07-25,(Ehrenberg) Ehrenberg
Iconella sublinearis,Surirella linearis,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,sublinearis,NA,Surirella sublinearis Hustedt,homotypic or heterotypic synonym,species,2023-01-23,Hustedt
NA,Surirella minuta,1,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,minuta,NA,Surirella minuta Brébisson ex Kützing,uncertain taxonomic status subjected to verification,species,2023-04-22,Brébisson ex Kützing
Surirella panduriformis W.Smith,Surirella ovalis,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,ovalis,panduriformis,Surirella ovalis var. panduriformis (W.Smith) West & G.S.West,homotypic or heterotypic synonym,variety,2023-02-19,(W.Smith) West & G.S.West
Surirella panduriformis W.Smith,Surirella ovata,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,ovata,panduriformis,Surirella ovata f. panduriformis (W.Smith) Cleve-Euler,homotypic or heterotypic synonym,forma,2023-04-27,(W.Smith) Cleve-Euler
Surirella,Surirella,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,NA,NA,"Surirella Turpin, 1828",currently accepted taxonomically,genus,2011-10-21,Turpin
NA,Surirell suecica,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tryblionella acuminata,Tryblionella acuminata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,acuminata,NA,Tryblionella acuminata W.Smith,currently accepted taxonomically,species,2022-03-16,W.Smith
Tryblionella apiculata,Tryblionella apiculata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,apiculata,NA,Tryblionella apiculata W.Gregory,currently accepted taxonomically,species,2023-01-19,W.Gregory
Tryblionella calida,Tryblionella calida,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,calida,NA,Tryblionella calida (Grunow) D.G.Mann,currently accepted taxonomically,species,2023-01-19,(Grunow) D.G.Mann
Tryblionella hungarica,Tryblionella hungarica,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,hungarica,NA,Tryblionella hungarica (Grunow) Frenguelli,currently accepted taxonomically,species,2023-01-19,(Grunow) Frenguelli
Tryblionella granulata,Tryblionella granulata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,granulata,NA,Tryblionella granulata (Grunow) D.G.Mann,currently accepted taxonomically,species,2022-06-17,(Grunow) D.G.Mann
Tryblionella levidensis,Tryblionella levidensis,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,levidensis,NA,Tryblionella levidensis W.Smith,currently accepted taxonomically,species,2022-06-17,W.Smith
Tryblionella,Tryblionella,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,NA,NA,"Tryblionella W.Smith, 1853",currently accepted taxonomically,genus,2021-05-04,W.Smith
Iconella,Iconella,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Iconella,NA,NA,"Iconella Jurilj, 1949",currently accepted taxonomically,genus,2016-10-12,Jurilj
Microcostatus,Microcostatus,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus,NA,NA,"Microcostatus J.R.Johansen & J.C.Sray, 1998",currently accepted taxonomically,genus,2023-03-03,J.R.Johansen & J.C.Sray
Psammodictyon,Psammodictyon,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,NA,NA,"Psammodictyon D.G.Mann, 1990",currently accepted taxonomically,genus,2021-05-04,D.G.Mann
Gomphosinica,Gomphosinica,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphosinica,NA,NA,"Gomphosinica J.P.Kociolek, Q.-M.You, Q.-X.Wang & Q.Liu, 2015",currently accepted taxonomically,genus,2017-07-09,"Kociolek, Q.-M.You, Q.-X.Wang & Q.Liu"
Bangia atropurpurea,Bangia atropurpurea,1,1,0,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,atropurpurea,NA,Bangia atropurpurea (Mertens ex Roth) C.Agardh,currently accepted taxonomically,species,2022-04-01,(Mertens ex Roth) C.Agardh
Actinastrum gracillimum,Actinastrum gracillimum,1,1,0,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,gracillimum,NA,Actinastrum gracillimum G.M.Smith,currently accepted taxonomically,species,2018-11-26,G.M.Smith
Actinastrum gracillimum G.M.Smith,Actinastrum gracillimum,0,0,0,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,gracillimum,elongatum,Actinastrum gracillimum var. elongatum (G.M.Smith) Fott,homotypic or heterotypic synonym,variety,2018-11-26,(G.M.Smith) Fott
NA,Actinastrum hantzschii,0,0,0,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,hantzschii,javanicum,Actinastrum hantzschii var. javanicum C.Bernard,uncertain taxonomic status subjected to verification,variety,2023-06-26,C.Bernard
Actinastrum,Actinastrum,1,1,1,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,NA,NA,"Actinastrum Lagerheim, 1882",currently accepted taxonomically,genus,2013-03-22,Lagerheim
Ankistrodesmus arcuatus,Ankistrodesmus arcuatus,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Ankistrodesmus,arcuatus,NA,Ankistrodesmus arcuatus Korshikov,currently accepted taxonomically,species,2016-08-30,Korshikov
