Week,EndWeek
27,7/8/2018
28,7/15/2018
29,7/22/2018
30,7/29/2018
31,8/5/2018
32,8/12/2018
33,8/19/2018
34,8/26/2018
35,9/2/2018
36,9/9/2018
37,9/16/2018
38,9/23/2018
39,9/30/2018
40,10/7/2018
41,10/14/2018
42,10/21/2018
43,10/28/2018
