"Year","nWeeksRepresented","Mean_of_nHats","Var_of_mean_of_nHats","SE_of_mean_of_nHats"
2017,13,212105.58754285,2642354980.4927,51403.8420790966
2018,13,7618.21791801006,2420813.5280712,1555.89637446432
2019,14,8530.77401431015,3154525.80316141,1776.0984778895
2020,13,1098.06944620901,100393.076401515,316.848664825205
2021,13,111.170845123192,12485.099072273,111.736740028842
2022,13,427.220916788634,32544.3970446137,180.40065699607
2023,12,1377.13560414835,852098.70105826,923.091924489788
2024,14,526.278482354994,283986.120678683,532.903481578684
