Year,Index,YT
1995,12.4,W
1996,9.7,W
1997,11,W
1998,12.4,W
1999,10,W
2000,9.2,W
2001,5.9,D
2002,6.5,D
2003,8,AN
2004,7.7,BN
2005,7.4,BN
2006,13,W
2007,6.2,D
2008,5.4,C
2009,5.5,D
2010,6.9,BN
2011,10,W
2012,6.9,BN
2013,5.8,D
2014,4,C
2015,4,C
2016,7.1,BN
2017,14.9,W
2018,7.2,BN
2019,10.2,W
2020,6,D
2021,,C
2022,,C
2023,,W
