"","Station","Year","Month","Date","Microcystis","Region.y","Acartiella","Tortanus","Limnoithona","Pseudodiaptomus","Other Calanoids","Other Cyclopoids","Other","sample"
"1","513",2018,"Oct",2018-10-05,1,"River",8339.70270381097,211.710254458552,1.18096544412819,217.941401078228,0,0,0,1
"2","513",2018,"Sep",2018-09-24,2,"River",5978.16850036387,0,15.1712480881928,1413.22985431903,0,0,0.561898077340475,2
"3","513",2018,"Oct",2018-10-22,1,"River",2984.74766834319,167.750933694635,5.82563796158782,773.385100476661,0,4.43255062294725,0.263842298984956,3
"4","513",2018,"Aug",2018-08-08,2,"River",1720.27568485188,0,1.23574346113293,937.158108749712,0,62.4375643519795,28.3384778680859,4
"5","513",2018,"Jul",2018-07-25,2,"River",1407.34352976921,0,2.01893733136273,403.825416222383,0,38.2535494363464,8.34898896428196,5
"6","513",2018,"Aug",2018-08-22,1,"River",1265.96785522969,0,0.599587362349542,415.752975418041,0,16.0536135137347,0.450817565676348,6
"7","513",2018,"Sep",2018-09-10,2,"River",3507.7156037567,29.8498303172191,1.99800072078014,1479.67727063671,0,18.928427881075,11.2669213577828,7
"8","513",2018,"Jul",2018-07-11,2,"River",1389.82485799751,0,2.85698154735192,1921.56712283322,0,27.0661409749129,5.90729267309607,8
"9","520",2018,"Jul",2018-07-26,2,"River",3142.22796647197,27.6859941439807,4.9115817492467,523.985654644457,0,0,0,9
"10","520",2018,"Oct",2018-10-22,1,"River",9324.64320018476,0,5.21965738538736,8353.94390867972,14.1578300885601,82.4156429271689,19.6227721255164,10
"11","520",2018,"Oct",2018-10-09,1,"River",11966.3277952058,0,19.6214453807817,1948.0800433942,0,82.6166121296071,11.4745294624454,11
"12","520",2018,"Sep",2018-09-24,1,"River",1222.10029691055,0,0.846180041695406,843.819644736992,0,0,8.27093273837615,12
"13","520",2018,"Jul",2018-07-11,2,"River",1433.75900092526,0,0,3608.25682804721,0,6.69399920394639,11.9535700070471,13
"14","520",2018,"Aug",2018-08-22,1,"River",3002.25002197917,135.466321276806,1.33513800310562,225.632641086538,0,3.56226182105201,4.9239132029427,14
"15","520",2018,"Sep",2018-09-13,1,"River",2948.91938391973,146.119283467588,0,281.97219622096,0,0,3.6770668747191,15
"16","520",2018,"Aug",2018-08-08,2,"River",4143.1908760594,37.0730709024058,4.96297778562654,444.354432114593,0,39.1814035707358,12.1275772957039,16
"17","606",2018,"Jul",2018-07-26,1,"Suisun Marsh",3684.53487434808,773.136929614732,3.70323217156211,112.371628394321,24.2018298168665,5.63535330455103,11.7403193844813,17
"18","606",2018,"Jul",2018-07-12,1,"Suisun Marsh",1675.9200140093,501.249726661745,2.23685854500351,2316.14929395403,49.3033896592314,14.1275276526537,37.0006676617122,18
"19","606",2018,"Aug",2018-08-23,1,"Suisun Marsh",671.627145846059,53.20195417799,0.178053847651552,303.403756398244,5.79545192844788,11.2455061674664,8.70187977244426,19
"20","606",2018,"Oct",2018-10-04,1,"Suisun Marsh",3183.78271978253,681.017201553961,1.09546102043565,59.2691456393988,0,11.2906411922202,2.18420142111403,20
"21","606",2018,"Sep",2018-09-07,1,"Suisun Marsh",1619.82929265118,111.229681330161,13.7739062841471,354.55003231313,0,0,11.4759227321689,21
"22","606",2018,"Aug",2018-08-09,2,"Suisun Marsh",2018.99289731738,33.9475850286621,0,568.933847633096,12.3267149462404,7.17563448013995,5.55257430010829,22
"23","609",2018,"Jul",2018-07-26,1,"Suisun Marsh",1014.4381429405,130.226111592643,12.8579442718076,655.5134825796,42.1211344208338,68.8160126684826,103.633638125751,23
"24","609",2018,"Jul",2018-07-12,1,"Suisun Marsh",1113.12069908114,500.65863893091,54.179881228502,2606.83918411606,30.2999975245532,27.51252373981,114.438660089269,24
"25","609",2018,"Oct",2018-10-22,1,"Suisun Marsh",1630.61560168824,205.325361184739,9.907596696852,296.401191402824,37.2794316390024,14.4674162978804,26.265249826509,25
"26","609",2018,"Aug",2018-08-09,1,"Suisun Marsh",817.316072955225,0,16.6488177514363,232.255982900503,0,0,38.2310064754594,26
"27","609",2018,"Aug",2018-08-23,2,"Suisun Marsh",505.954852285014,153.092443882825,3.20236781422662,163.325574116256,13.8977947546737,16.1803847455661,9.63118139617029,27
"28","609",2018,"Sep",2018-09-13,1,"Suisun Marsh",1393.94453586031,31.9417825787879,1.06901285429763,548.0981620106,0,0,4.01884531690839,28
"29","609",2018,"Sep",2018-09-24,1,"Suisun Marsh",2051.94485043624,83.5181203560465,13.2777785555036,299.551308052734,22.7461430022853,2.11225444373266,126.104742909413,29
"30","610",2018,"Jul",2018-07-26,1,"Suisun Marsh",1324.25020631668,190.977986052353,10.6532755142972,375.51594690659,5.77920171696647,0,21.6269502921822,30
"31","610",2018,"Jul",2018-07-12,1,"Suisun Marsh",688.677472135556,99.7553945719913,10.5725740084478,2011.18222042299,123.791578853168,14.8986687946509,46.0222849596068,31
"32","610",2018,"Aug",2018-08-09,1,"Suisun Marsh",2471.3098887183,0,18.9935475179775,427.133758312804,0,38.0268859874591,110.97254252822,32
"33","610",2018,"Aug",2018-08-23,1,"Suisun Marsh",1654.76975556765,34.7542227328864,3.48941491454999,248.535545004,0,0,57.2823751636652,33
"34","610",2018,"Sep",2018-09-24,2,"Suisun Marsh",845.409971595381,52.8584917847731,4.55590649544757,764.108656266401,4.32644843107831,0,11.9717250975265,34
"35","610",2018,"Oct",2018-10-09,1,"Suisun Marsh",1944.95407539866,251.669204074094,6.3174591019543,225.607706124679,132.86455652644,13.2999138988512,45.1247078711021,35
"36","610",2018,"Oct",2018-10-22,1,"Suisun Marsh",8725.72915320025,630.349407193663,75.5566661249277,1987.51408713611,14.3062943469716,16.655976786495,138.799806554125,36
"37","801",2018,"Aug",2018-08-08,2,"River",2298.99337062001,0,0.347386227753959,1693.12573545002,0,21.8853323484994,29.0935965743941,37
"38","801",2018,"Aug",2018-08-22,2,"River",1485.49387263711,0,0,966.399940937534,0,0,21.7223197959382,38
"39","801",2018,"Jul",2018-07-11,2,"River",2380.21645489776,0,2.86484998779561,1945.09313024765,0,0,5.38505636803686,39
"40","801",2018,"Jul",2018-07-25,4,"River",1659.6773213746,0,2.53224814550376,546.88944158985,0,0,13.7084110132535,40
"41","802",2018,"Sep",2018-09-07,2,"River",1520.15082912579,26.9885024278428,9.61983233242056,2133.91854312144,0,34.2279950267558,14.6012280372073,41
"42","802",2018,"Sep",2018-09-24,1,"River",3211.05968945105,31.7472688155643,1.38205271894631,2871.02678812601,0,33.5527249686387,35.9493481806843,42
"43","802",2018,"Oct",2018-10-04,1,"River",4312.11349036179,88.3117038196553,1.9704662346205,336.35710469616,0,0,4.07427228962885,43
"44","802",2018,"Oct",2018-10-22,1,"River",2350.96096686286,31.9381455557347,5.61203149022756,2195.15425514957,0,13.5026321569385,6.22889281049246,44
"45","Mont",2018,"Aug",2018-08-23,1,"Suisun Marsh",895.405222329755,49.0466879714505,0.410393803095497,47.8216778975489,0,0,21.5996738471314,45
"46","Mont",2018,"Sep",2018-09-13,1,"Suisun Marsh",2430.20154669443,0,0.681601523634147,269.606713949964,0,0,6.14978818316524,46
"47","Mont",2018,"Aug",2018-08-09,1,"Suisun Marsh",3719.8271389621,0,0.596402096451461,589.411187666741,3.23536926759195,3.76675008285133,18.1611164708904,47
"48","Mont",2018,"Jul",2018-07-26,1,"Suisun Marsh",1271.05008968867,133.791455434899,2.1114587818931,375.007584887069,24.7290781938574,4.04014892207337,30.0606318606649,48
"49","Mont",2018,"Oct",2018-10-22,1,"Suisun Marsh",2474.43497425101,215.391745796308,7.20893399091785,371.052324239298,26.893479311983,22.7650547081616,12.1955650222294,49
"50","Mont",2018,"Sep",2018-09-24,1,"Suisun Marsh",2476.82196330662,0,0.538326929180853,168.832277217983,5.84064480306745,6.79991910544235,76.4990899362265,50
"51","Mont",2018,"Oct",2018-10-09,1,"Suisun Marsh",4554.6112686201,300.412701925267,1.50818697554207,195.913110131192,0,0,23.0574951148036,51
"52","NZ032",2018,"Oct",2018-10-18,NA,"Suisun Marsh",5549.07262354077,1522.99967980766,20.3248424813665,35.7754570547152,79.3339554464266,29.2085159266247,4.42218257783872,52
"53","NZ032",2018,"Sep",2018-09-19,NA,"Suisun Marsh",2081.61843338361,672.070999009973,2.57069869160113,141.11299603539,0,0.485630109973521,7.0066035767324,53
