"","Year","Date","Survey","Station","turbidity","Secchi"
"100",1969,1969-10-23,4,"903",12,0.779999971389771
"101",1969,1969-10-24,4,"904",13,0.730000019073486
"102",1969,1969-10-24,4,"905",17,0.589999973773956
"103",1969,1969-10-24,4,"906",13,0.730000019073486
"104",1969,1969-10-24,4,"907",11,0.829999983310699
"105",1969,1969-10-24,4,"908",17,0.589999973773956
"106",1969,1969-10-24,4,"909",15,0.649999976158142
"107",1969,1969-10-24,4,"910",16,0.620000004768372
"108",1969,1969-10-24,4,"911",16,0.620000004768372
"109",1969,1969-10-24,4,"913",16,0.620000004768372
"110",1969,1969-10-24,4,"914",18,0.560000002384186
"111",1969,1969-10-24,4,"915",17,0.589999973773956
"112",1969,1969-12-11,6,"101",5,1.42999994754791
"113",1969,1969-12-11,6,"102",5,1.42999994754791
"114",1969,1969-12-11,6,"103",7,1.14999997615814
"115",1969,1969-12-11,6,"104",6,1.26999998092651
"116",1969,1969-12-11,6,"105",6,1.26999998092651
"117",1969,1969-12-11,6,"106",8,1.04999995231628
"118",1969,1969-12-11,6,"107",6,1.26999998092651
"119",1969,1969-12-11,6,"108",5,1.42999994754791
"120",1969,1969-12-11,6,"109",4,1.62000000476837
"121",1969,1969-12-11,6,"110",4,1.62000000476837
"122",1969,1969-12-11,6,"111",4,1.62000000476837
"123",1969,1969-12-11,6,"112",3,1.87999999523163
"124",1969,1969-12-11,6,"113",4,1.62000000476837
"125",1969,1969-12-11,6,"204",4,1.62000000476837
"126",1969,1969-12-11,6,"205",4,1.62000000476837
"127",1969,1969-12-11,6,"206",5,1.42999994754791
"128",1969,1969-12-11,6,"207",5,1.42999994754791
"129",1969,1969-12-11,6,"208",4,1.62000000476837
"130",1969,1969-12-11,6,"209",3,1.87999999523163
"131",1969,1969-12-12,6,"210",5,1.42999994754791
"132",1969,1969-12-12,6,"211",18,0.560000002384186
"133",1969,1969-12-12,6,"302",25,0.419999986886978
"134",1969,1969-12-12,6,"305",10,0.889999985694885
"135",1969,1969-12-14,6,"313",20,0.509999990463257
"136",1969,1969-12-14,6,"314",10,0.889999985694885
"137",1969,1969-12-14,6,"316",27,0.400000005960464
"138",1969,1969-12-12,6,"320",29,0.370000004768372
"139",1969,1969-12-12,6,"321",14,0.689999997615814
"140",1969,1969-12-12,6,"323",27,0.400000005960464
"141",1969,1969-12-12,6,"324",7,1.14999997615814
"142",1969,1969-12-14,6,"329",17,0.589999973773956
"143",1969,1969-12-14,6,"332",7,1.14999997615814
"144",1969,1969-12-14,6,"334",18,0.560000002384186
"145",1969,1969-12-12,6,"338",6,1.26999998092651
"146",1969,1969-12-14,6,"340",16,0.620000004768372
"147",1969,1969-12-14,6,"405",9,0.970000028610229
"148",1969,1969-12-16,6,"409",27,0.400000005960464
"149",1969,1969-12-16,6,"410",22,0.469999998807907
"150",1969,1969-12-16,6,"411",23,0.449999988079071
"151",1969,1969-12-16,6,"412",22,0.469999998807907
"152",1969,1969-12-16,6,"413",25,0.419999986886978
"153",1969,1969-12-15,6,"414",25,0.419999986886978
"154",1969,1969-12-15,6,"416",33,0.330000013113022
"155",1969,1969-12-15,6,"418",33,0.330000013113022
"156",1969,1969-12-15,6,"419",32,0.340000003576279
"157",1969,1969-12-16,6,"501",23,0.449999988079071
"158",1969,1969-12-16,6,"502",26,0.409999996423721
"159",1969,1969-12-16,6,"503",32,0.340000003576279
"160",1969,1969-12-16,6,"504",26,0.409999996423721
"161",1969,1969-12-16,6,"505",26,0.409999996423721
"162",1969,1969-12-17,6,"506",19,0.529999971389771
"163",1969,1969-12-17,6,"507",20,0.509999990463257
"164",1969,1969-12-17,6,"508",22,0.469999998807907
"165",1969,1969-12-17,6,"509",18,0.560000002384186
"166",1969,1969-12-17,6,"510",22,0.469999998807907
"167",1969,1969-12-17,6,"511",17,0.589999973773956
"168",1969,1969-12-17,6,"512",13,0.730000019073486
"169",1969,1969-12-17,6,"513",17,0.589999973773956
"170",1969,1969-12-17,6,"514",12,0.779999971389771
"171",1969,1969-12-15,6,"515",29,0.370000004768372
"172",1969,1969-12-15,6,"516",25,0.419999986886978
"173",1969,1969-12-15,6,"517",23,0.449999988079071
"174",1969,1969-12-16,6,"518",33,0.330000013113022
"175",1969,1969-12-16,6,"519",26,0.409999996423721
"176",1969,1969-12-15,6,"601",32,0.340000003576279
"177",1969,1969-12-15,6,"602",34,0.319999992847443
"178",1969,1969-12-15,6,"603",32,0.340000003576279
"179",1969,1969-12-15,6,"604",30,0.360000014305115
"180",1969,1969-12-15,6,"605",23,0.449999988079071
"181",1969,1969-12-15,6,"606",42,0.270000010728836
"182",1969,1969-12-15,6,"607",56,0.200000002980232
"183",1969,1969-12-17,6,"608",25,0.419999986886978
"184",1969,1969-12-17,6,"701",13,0.730000019073486
"185",1969,1969-12-17,6,"702",13,0.730000019073486
"186",1969,1969-12-17,6,"703",22,0.469999998807907
"187",1969,1969-12-17,6,"704",29,0.370000004768372
"188",1969,1969-12-17,6,"705",47,0.239999994635582
"189",1969,1969-12-17,6,"706",52,0.219999998807907
"190",1969,1969-12-18,6,"707",45,0.25
"191",1969,1969-12-18,6,"708",45,0.25
"192",1969,1969-12-18,6,"709",37,0.300000011920929
"193",1969,1969-12-18,6,"710",42,0.270000010728836
"194",1969,1969-12-18,6,"801",15,0.649999976158142
"195",1969,1969-12-18,6,"802",18,0.560000002384186
"196",1969,1969-12-18,6,"803",18,0.560000002384186
"197",1969,1969-12-18,6,"804",11,0.829999983310699
"198",1969,1969-12-18,6,"805",9,0.970000028610229
