time, value,qaqc_flag_id,cdec_code,analyte_name,unit_name
08/09/2022 08:30,22.676,,TRB,Water Temperature,°C
08/09/2022 08:45,23.074,,TRB,Water Temperature,°C
08/09/2022 09:00,23.128,,TRB,Water Temperature,°C
08/09/2022 09:15,23.202,,TRB,Water Temperature,°C
08/09/2022 09:30,23.325,,TRB,Water Temperature,°C
08/09/2022 09:45,23.58,,TRB,Water Temperature,°C
08/09/2022 10:00,23.761,,TRB,Water Temperature,°C
08/09/2022 10:15,23.877,,TRB,Water Temperature,°C
08/09/2022 10:30,23.982,,TRB,Water Temperature,°C
08/09/2022 10:45,24.186,,TRB,Water Temperature,°C
08/09/2022 11:00,24.473,,TRB,Water Temperature,°C
08/09/2022 11:15,24.666,,TRB,Water Temperature,°C
08/09/2022 11:30,24.792,,TRB,Water Temperature,°C
08/09/2022 11:45,24.97,,TRB,Water Temperature,°C
08/09/2022 12:00,25.323,,TRB,Water Temperature,°C
08/09/2022 12:15,25.507,,TRB,Water Temperature,°C
08/09/2022 12:30,25.659,,TRB,Water Temperature,°C
08/09/2022 12:45,25.797,,TRB,Water Temperature,°C
08/09/2022 13:00,21.909,,TRB,Water Temperature,°C
08/09/2022 13:15,22.115,,TRB,Water Temperature,°C
08/09/2022 13:30,22.193,,TRB,Water Temperature,°C
08/09/2022 13:45,22.381,,TRB,Water Temperature,°C
08/09/2022 14:00,22.425,,TRB,Water Temperature,°C
08/09/2022 14:15,22.551,,TRB,Water Temperature,°C
08/09/2022 14:30,22.63,,TRB,Water Temperature,°C
08/09/2022 14:45,22.753,,TRB,Water Temperature,°C
08/09/2022 15:00,22.763,,TRB,Water Temperature,°C
08/09/2022 15:15,22.845,,TRB,Water Temperature,°C
08/09/2022 15:30,22.951,,TRB,Water Temperature,°C
08/09/2022 15:45,22.783,,TRB,Water Temperature,°C
08/09/2022 16:00,22.965,,TRB,Water Temperature,°C
08/09/2022 16:15,22.878,,TRB,Water Temperature,°C
08/09/2022 16:30,23.023,,TRB,Water Temperature,°C
08/09/2022 16:45,22.729,,TRB,Water Temperature,°C
08/09/2022 17:00,22.538,,TRB,Water Temperature,°C
08/09/2022 17:15,22.629,,TRB,Water Temperature,°C
08/09/2022 17:30,22.665,,TRB,Water Temperature,°C
08/09/2022 17:45,22.673,,TRB,Water Temperature,°C
08/09/2022 18:00,22.638,,TRB,Water Temperature,°C
08/09/2022 18:15,22.683,,TRB,Water Temperature,°C
08/09/2022 18:30,22.631,,TRB,Water Temperature,°C
08/09/2022 18:45,22.62,,TRB,Water Temperature,°C
08/09/2022 19:00,22.613,,TRB,Water Temperature,°C
08/09/2022 19:15,23.067,,TRB,Water Temperature,°C
08/09/2022 19:30,23.261,,TRB,Water Temperature,°C
08/09/2022 19:45,22.386,,TRB,Water Temperature,°C
08/09/2022 20:00,22.037,,TRB,Water Temperature,°C
08/09/2022 20:15,21.879,,TRB,Water Temperature,°C
08/09/2022 20:30,21.769,,TRB,Water Temperature,°C
08/09/2022 20:45,21.628,,TRB,Water Temperature,°C
08/09/2022 21:00,21.517,,TRB,Water Temperature,°C
08/09/2022 21:15,21.433,,TRB,Water Temperature,°C
08/09/2022 21:30,21.382,,TRB,Water Temperature,°C
08/09/2022 21:45,21.343,,TRB,Water Temperature,°C
08/09/2022 22:00,21.308,,TRB,Water Temperature,°C
08/09/2022 22:15,21.253,,TRB,Water Temperature,°C
08/09/2022 22:30,21.212,,TRB,Water Temperature,°C
08/09/2022 22:45,21.165,,TRB,Water Temperature,°C
08/09/2022 23:00,21.129,,TRB,Water Temperature,°C
08/09/2022 23:15,21.095,,TRB,Water Temperature,°C
08/09/2022 23:30,21.073,,TRB,Water Temperature,°C
08/09/2022 23:45,21.043,,TRB,Water Temperature,°C
08/10/2022 00:00,21.013,,TRB,Water Temperature,°C
08/10/2022 00:15,20.981,,TRB,Water Temperature,°C
08/10/2022 00:30,20.949,,TRB,Water Temperature,°C
08/10/2022 00:45,20.912,,TRB,Water Temperature,°C
08/10/2022 01:00,20.875,,TRB,Water Temperature,°C
08/10/2022 01:15,20.826,,TRB,Water Temperature,°C
08/10/2022 01:30,20.789,,TRB,Water Temperature,°C
08/10/2022 01:45,20.718,,TRB,Water Temperature,°C
08/10/2022 02:00,20.676,,TRB,Water Temperature,°C
08/10/2022 02:15,20.613,,TRB,Water Temperature,°C
08/10/2022 02:30,20.549,,TRB,Water Temperature,°C
08/10/2022 02:45,20.498,,TRB,Water Temperature,°C
08/10/2022 03:00,20.425,,TRB,Water Temperature,°C
08/10/2022 03:15,20.36,,TRB,Water Temperature,°C
08/10/2022 03:30,20.316,,TRB,Water Temperature,°C
08/10/2022 03:45,20.303,,TRB,Water Temperature,°C
08/10/2022 04:00,20.302,,TRB,Water Temperature,°C
08/10/2022 04:15,20.296,,TRB,Water Temperature,°C
08/10/2022 04:30,20.277,,TRB,Water Temperature,°C
08/10/2022 04:45,20.239,,TRB,Water Temperature,°C
08/10/2022 05:00,20.212,,TRB,Water Temperature,°C
08/10/2022 05:15,20.196,,TRB,Water Temperature,°C
08/10/2022 05:30,20.172,,TRB,Water Temperature,°C
08/10/2022 05:45,20.167,,TRB,Water Temperature,°C
08/10/2022 06:00,20.145,,TRB,Water Temperature,°C
08/10/2022 06:15,20.129,,TRB,Water Temperature,°C
08/10/2022 06:30,20.107,,TRB,Water Temperature,°C
08/10/2022 06:45,20.081,,TRB,Water Temperature,°C
08/10/2022 07:00,20.055,,TRB,Water Temperature,°C
08/10/2022 07:15,20.024,,TRB,Water Temperature,°C
08/10/2022 07:30,19.999,,TRB,Water Temperature,°C
08/10/2022 07:45,19.987,,TRB,Water Temperature,°C
08/10/2022 08:00,19.985,,TRB,Water Temperature,°C
08/10/2022 08:15,19.996,,TRB,Water Temperature,°C
08/10/2022 08:30,20.012,,TRB,Water Temperature,°C
08/10/2022 08:45,20.04,,TRB,Water Temperature,°C
08/10/2022 09:00,20.078,,TRB,Water Temperature,°C
08/10/2022 09:15,20.13,,TRB,Water Temperature,°C
08/10/2022 09:30,20.2,,TRB,Water Temperature,°C
08/10/2022 09:45,20.288,,TRB,Water Temperature,°C
08/10/2022 10:00,20.36,,TRB,Water Temperature,°C
08/10/2022 10:15,20.577,,TRB,Water Temperature,°C
08/10/2022 10:30,21.207,,TRB,Water Temperature,°C
08/10/2022 10:45,21.421,,TRB,Water Temperature,°C
08/10/2022 11:00,21.687,,TRB,Water Temperature,°C
