Binstart,binend,NoAction,Action
0,0.5,0,0
0.5,1,0,0
1,1.5,0,0
1.5,2,0,45
2,2.5,0,483
2.5,3,0,797
3,3.5,0,613
3.5,4,0,1255
4,4.5,0,95
4.5,5,0,20
5,5.5,0,21
5.5,6,0,24
6,6.5,0,90
6.5,7,245,52
7,7.5,2117,57
7.5,8,1052,0
8,8.5,138,0
8.5,9,0,0
9,9.5,0,0
9.5,10,0,0
