cdec_code,analyte_name,unit_name,time,value,qaqc_flag_id
GZM,Specific Conductance,µS/cm,6/1/2021 0:00,13799,G
GZM,Specific Conductance,µS/cm,6/1/2021 0:15,13905,G
GZM,Specific Conductance,µS/cm,6/1/2021 0:30,13462,G
GZM,Specific Conductance,µS/cm,6/1/2021 0:45,13226,G
GZM,Specific Conductance,µS/cm,6/1/2021 1:00,13106,G
GZM,Specific Conductance,µS/cm,6/1/2021 1:15,12565,G
GZM,Specific Conductance,µS/cm,6/1/2021 1:30,12569,G
GZM,Specific Conductance,µS/cm,6/1/2021 1:45,12520,G
GZM,Specific Conductance,µS/cm,6/1/2021 2:00,12461,G
GZM,Specific Conductance,µS/cm,6/1/2021 2:15,12458,G
GZM,Specific Conductance,µS/cm,6/1/2021 2:30,12483,G
GZM,Specific Conductance,µS/cm,6/1/2021 2:45,12744,G
GZM,Specific Conductance,µS/cm,6/1/2021 3:00,12953,G
GZM,Specific Conductance,µS/cm,6/1/2021 3:15,13794,G
GZM,Specific Conductance,µS/cm,6/1/2021 3:30,15391,G
GZM,Specific Conductance,µS/cm,6/1/2021 3:45,16740,G
GZM,Specific Conductance,µS/cm,6/1/2021 4:00,17527,G
GZM,Specific Conductance,µS/cm,6/1/2021 4:15,17892,G
GZM,Specific Conductance,µS/cm,6/1/2021 4:30,17913,G
GZM,Specific Conductance,µS/cm,6/1/2021 4:45,17630,G
GZM,Specific Conductance,µS/cm,6/1/2021 5:00,17513,G
GZM,Specific Conductance,µS/cm,6/1/2021 5:15,17446,G
GZM,Specific Conductance,µS/cm,6/1/2021 5:30,17617,G
GZM,Specific Conductance,µS/cm,6/1/2021 5:45,17791,G
GZM,Specific Conductance,µS/cm,6/1/2021 6:00,17786,G
GZM,Specific Conductance,µS/cm,6/1/2021 6:15,17797,G
GZM,Specific Conductance,µS/cm,6/1/2021 6:30,17986,G
GZM,Specific Conductance,µS/cm,6/1/2021 6:45,18044,G
GZM,Specific Conductance,µS/cm,6/1/2021 7:00,17917,G
GZM,Specific Conductance,µS/cm,6/1/2021 8:00,17921,G
GZM,Specific Conductance,µS/cm,6/1/2021 7:15,17905,G
GZM,Specific Conductance,µS/cm,6/1/2021 7:30,17838,G
GZM,Specific Conductance,µS/cm,6/1/2021 7:45,17945,G
GZM,Specific Conductance,µS/cm,6/1/2021 8:15,17773,G
GZM,Specific Conductance,µS/cm,6/1/2021 8:30,17552,G
GZM,Specific Conductance,µS/cm,6/1/2021 8:45,17277,G
GZM,Specific Conductance,µS/cm,6/1/2021 9:00,16886,G
GZM,Specific Conductance,µS/cm,6/1/2021 9:15,16550,G
GZM,Specific Conductance,µS/cm,6/1/2021 9:30,16314,G
GZM,Specific Conductance,µS/cm,6/1/2021 9:45,15152,G
GZM,Specific Conductance,µS/cm,6/1/2021 10:00,14902,G
GZM,Specific Conductance,µS/cm,6/1/2021 10:15,15364,G
