"","contrast","Region","estimate","SE","df","t.ratio","p.value"
"1","Year2017 - Year2018","Grizzly Bay",-0.465506977385008,0.41152862028389,1308.07251873412,-1.13116549965317,0.918527264251483
"2","Year2017 - Year2019","Grizzly Bay",0.0832153475990299,0.39153570815717,1308.09958672476,0.212535781195277,0.999992325826386
"3","Year2017 - Year2020","Grizzly Bay",-0.324070408815517,0.391464791811143,1308.08086248339,-0.827840499566207,0.982091524123353
"4","Year2017 - Year2021","Grizzly Bay",-0.752000098649575,0.393010765735475,1308.06012942117,-1.91343384001783,0.471648084949595
"5","Year2017 - Year2022","Grizzly Bay",-0.530309819646218,0.39151989355657,1308.0980725831,-1.35449009966998,0.825731469383376
"6","Year2017 - Year2023","Grizzly Bay",-0.942951914741815,0.597809885931547,1308.04634779089,-1.57734413052144,0.696968225481312
"7","Year2018 - Year2019","Grizzly Bay",0.548722324984038,0.290136348159841,1308.03100086608,1.89125674347338,0.486468169550738
"8","Year2018 - Year2020","Grizzly Bay",0.141436568569491,0.290302993460883,1308.12213175664,0.487203272978131,0.999015270307107
"9","Year2018 - Year2021","Grizzly Bay",-0.286493121264567,0.292429163394151,1308.09701876287,-0.979700922915192,0.958383383055481
"10","Year2018 - Year2022","Grizzly Bay",-0.0648028422612094,0.290353753488502,1308.13034203536,-0.223185825850795,0.999989740135381
"11","Year2018 - Year2023","Grizzly Bay",-0.477444937356806,0.536899152438306,1308.00979760387,-0.889263719617566,0.974208919630117
"12","Year2019 - Year2020","Grizzly Bay",-0.407285756414547,0.261062426495659,1308.13204897923,-1.56010867546778,0.70790425321654
"13","Year2019 - Year2021","Grizzly Bay",-0.835215446248605,0.263587430722595,1308.18001260399,-3.16864671414322,0.0261889696383406
"14","Year2019 - Year2022","Grizzly Bay",-0.613525167245248,0.261341636166226,1308.24645802543,-2.34759824819883,0.222263427126833
"15","Year2019 - Year2023","Grizzly Bay",-1.02616726234084,0.521782801039628,1308.03589090046,-1.96665597312954,0.436586924956504
"16","Year2020 - Year2021","Grizzly Bay",-0.427929689834058,0.263317704548748,1308.0474963907,-1.62514590717479,0.666025666534768
"17","Year2020 - Year2022","Grizzly Bay",-0.2062394108307,0.261032549951486,1308.10211878906,-0.790090779364606,0.985945825546196
"18","Year2020 - Year2023","Grizzly Bay",-0.618881505926297,0.521903771532786,1308.07522671386,-1.18581535463654,0.899612973924222
"19","Year2021 - Year2022","Grizzly Bay",0.221690279003358,0.263334358652267,1308.05452280847,0.841858541126036,0.980476358977691
"20","Year2021 - Year2023","Grizzly Bay",-0.190951816092239,0.523026862671817,1308.05193349516,-0.365089882987627,0.999813673545634
"21","Year2022 - Year2023","Grizzly Bay",-0.412642095095597,0.521811598630809,1308.04827209571,-0.790787510623253,0.985880916984212
"22","Year2017 - Year2018","River",0.42342754599595,0.197275535675191,1308.09697799165,2.14637635906924,0.326033447999085
"23","Year2017 - Year2019","River",0.882302294159935,0.178886036019693,1308.06456910555,4.93220328311598,1.89374791502717e-05
"24","Year2017 - Year2020","River",0.851708345456275,0.178644305829685,1308.09804399827,4.76762100812925,4.25501381392523e-05
"25","Year2017 - Year2021","River",0.676583685022491,0.176178557496939,1308.14335580782,3.84032934901427,0.00246132150366918
"26","Year2017 - Year2022","River",1.15206518800129,0.180724474791524,1308.08860764659,6.37470486125502,5.31782784474188e-09
"27","Year2017 - Year2023","River",0.212396314942337,0.286092292617812,1308.15701291425,0.742404882700128,0.989878096923523
"28","Year2018 - Year2019","River",0.458874748163984,0.16342006745488,1308.40291989657,2.80794614339931,0.0747200205480695
"29","Year2018 - Year2020","River",0.428280799460325,0.163176786229114,1308.46481976425,2.62464293701056,0.119386779176969
"30","Year2018 - Year2021","River",0.25315613902654,0.160583691760211,1308.6018415951,1.57647477307074,0.697522862883166
"31","Year2018 - Year2022","River",0.728637642005338,0.165489166330646,1308.46418753839,4.40293257958366,0.000232841046264753
"32","Year2018 - Year2023","River",-0.211031231053613,0.276575857034945,1308.2260519818,-0.76301392795449,0.988298351779886
"33","Year2019 - Year2020","River",-0.030593948703659,0.139858337384266,1308.09032674684,-0.218749552410316,0.999990893046866
"34","Year2019 - Year2021","River",-0.205718609137444,0.136559544952078,1308.04267283362,-1.50643888868871,0.741068326813089
"35","Year2019 - Year2022","River",0.269762893841353,0.142427656824617,1308.00536088407,1.89403448638866,0.484606219773672
"36","Year2019 - Year2023","River",-0.669905979217597,0.263596213068519,1308.15139726614,-2.54140972443888,0.145511943213496
"37","Year2020 - Year2021","River",-0.175124660433785,0.136205762475118,1308.05690469859,-1.2857360602917,0.858618701030015
"38","Year2020 - Year2022","River",0.300356842545012,0.142144630662344,1308.07603813495,2.11303684947828,0.345425911471502
"39","Year2020 - Year2023","River",-0.639312030513938,0.263633787377726,1308.27840076461,-2.42500036460786,0.188860416842792
"40","Year2021 - Year2022","River",0.475481502978797,0.138888311020721,1308.02121202651,3.4234810653566,0.0113472232456081
