"","Year","Month","X2"
"1",2017,6,59.399
"2",2017,7,71.1925806451613
"3",2017,8,76.4690322580645
"4",2017,9,74.5373333333333
"5",2017,10,75.5522580645161
"6",2018,6,76.523
"7",2018,7,80.5316129032258
"8",2018,8,81.9877419354839
"9",2018,9,82.7556666666667
"10",2018,10,83.8448387096774
"11",2019,6,59.2316666666667
"12",2019,7,72.6216129032258
"13",2019,8,76.4070967741935
"14",2019,9,74.6096666666667
"15",2019,10,73.7941935483871
"16",2020,6,79.057
"17",2020,7,83.2567741935484
"18",2020,8,87.581935483871
"19",2020,9,87.1333333333333
"20",2020,10,87.7235483870968
"21",2021,6,88.0053333333333
"22",2021,7,89.2916129032258
"23",2021,8,88.7967741935484
"24",2021,9,89.3373333333333
"25",2021,10,86.7764516129032
"26",2022,6,85.011
"27",2022,7,83.8816129032258
"28",2022,8,87.5890322580645
"29",2022,9,89.2303333333333
"30",2023,6,61.2585185185185
"31",2023,7,75.9374193548387
"32",2023,8,80.8570967741936
"33",2023,9,77.5807407407407
"34",2023,10,79.6209677419355
