Station_label,Survey
STN 706,S
STN 704,S
STN 801,S
STN 609,B
MONT,B
STN 610,B
FMWT 605,B
STN 606,S
EMP NZS42,B
STN 602,S
STN 519,S
FMWT 706,F
FMWT 704,F
FMWT 802,F
FMWT 606,F
FMWT 519,F
FMWT 602,F
