ZooCode,LifeStage,TaxonName,Phylum,Class,Order,Family,Genus,Species,Start Year,Notes
DAPHNIA,All,Daphnia spp,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,spp,2005,
Deltamysis_holmquistae,All,Deltamysis holmquistae,Arthropoda,Malacostraca,Mysidacea,Mysidae,Deltamysis,holmquistae,2007,
DIAPHAN,All,Diaphanosoma spp,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,spp,2005,
DIAPTJUV,Copepodid,"Diaptomidae copepodids, several genera",Arthropoda,Copepoda,Calanoida,Diaptomidae,NA,NA,2005,
DIAPTOM,Adult,Diaptomidae,Arthropoda,Copepoda,Calanoida,Diaptomidae,NA,NA,2005,
EURYJUV,Copepodid,Eurytemora affinis copepodids,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,affinis,2005,
EURYNAUP,Nauplii,Eurytemora affinis nauplii,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,affinis,2005,
EURYTEM,Adult,Eurytemora affinis,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,affinis,2005,
Gammarus_daiberi,All,Gammarus daiberi,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,daiberi,2013,
Grandidierella_japonica,All,Grandidierella japonica,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,japonica,2019,Classified as Unidentified amphipod prior to 2019
HARPACT,All,All life stages of harpactacoids,Arthropoda,Copepoda,Harpacticoida,NA,NA,NA,2005,
Hyalella_sp,All,Hyalella sp,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Hyalella,sp,2013,
Hyperacanthomysis_longirostris,All,Hyperacanthomysis longirostris,Arthropoda,Malacostraca,Mysidacea,Mysidae,Hyperacanthomysis,longirostris,2007,
KERATELA,All,Keratella spp,Rotatoria,Monogononta,Ploima,Brachionidae,Keratella,spp,2005,
LIMNOJUV,Copepodid,Limnoithona spp copepodids,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Limnoithona,spp,2005,
LIMNOSINE,Adult,Limnoithona sinensis,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Limnoithona,sinensis,2006,
LIMNOSPP,Adult,Limnoithona spp,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Limnoithona,spp,2005,
LIMNOTET,Adult,Limnoithona tetraspina,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Limnoithona,tetraspina,2006,
