station,BDL,CSE,GZL,HUN,MSL,NSL
BDL,0,21892.250190009436,0,8316.07718986628,16710.440479585865,13096.257462105055
CSE,21892.250190009436,0,21892.25019000944,25150.05280396419,5199.021855514628,8858.124762260379
GZL,0,21892.25019000944,0,8316.07718986628,16710.440479585865,13096.257462105055
HUN,8316.07718986628,25150.05280396419,8316.07718986628,0,24924.30287849963,21310.119861018855
MSL,16710.440479585865,5199.021855514628,16710.440479585865,24924.30287849963,0,3676.3150518367706
NSL,13096.257462105055,8858.124762260379,13096.257462105055,21310.119861018855,3676.3150518367706,0
