station,EMP_NZ028,EMP_NZ032,EMP_NZ048,EMP_NZ054,EMP_NZ060,EMP_NZ064,EMP_NZ068,EMP_NZ074,EMP_NZS42,FMWT_519,FMWT_602,FMWT_605,FMWT_606,FMWT_704,FMWT_706,FMWT_802,SMSCG,STN_519,STN_602,STN_606,STN_609,STN_610,STN_704,STN_706,STN_801,STN_MONT
EMP_NZ028,0,8138.862398913823,8267.726854446511,14986.098005504244,22001.674480191487,30500.53252787845,38020.395767907714,24645.36624981619,9489.026971610749,10459.775191709927,467.7050983124842,3768.691769624715,8081.567497226307,26528.725463316292,30625.7825030333,21927.4965788068,23213.156750586608,9370.18538833489,392.7050983124842,8024.272595538791,17023.216810553044,26256.105591834978,26832.905070066354,30687.421584167805,20178.803103816725,20619.951701964434
EMP_NZ032,8138.862398913823,0,16307.167609039727,22991.114469915363,28603.976203340444,37173.65464427743,44693.517884306755,32650.38271422732,4492.955838336644,18464.791656121084,8317.0630963092,4423.614304751093,106.06601717798213,33201.847579715206,37298.90461943228,29815.95142695703,21440.93590304197,17375.201852746053,8531.567497226304,212.13203435596427,8924.437168235714,18157.32594951771,33506.02718646527,37360.543700566785,27570.78779475618,12521.172059647139
EMP_NZ048,8267.726854446511,16307.167609039727,0,8229.101966249682,15244.678440936952,23743.536488623948,31263.3997286532,17888.37021056166,17657.332181736638,4646.807064562167,8028.380029138098,11936.996979750624,16249.872707352204,19771.729424061774,23868.786463778797,15170.500539552266,16456.160711332086,3486.3968679371997,7934.360643858148,16192.577805664689,25191.522020678924,19722.55851976533,20075.90903081184,23930.4255449133,13421.807064562172,25420.844443991886
EMP_NZ054,14986.098005504244,22991.114469915363,8229.101966249682,0,7263.447851062044,15762.305898749064,23282.169138778303,9659.268244311985,24341.279042612263,5154.759492168069,14725.68780887929,18620.9438406263,22933.819568227835,11790.498834186892,15887.555873903915,6941.398573302575,8528.373796919168,5749.521805824334,14702.324244152354,22876.524666540317,21071.59436945643,11794.771605352435,12094.678440936956,15949.194955038418,5440.576474687262,17493.057529578982
EMP_NZ060,22001.674480191487,28603.976203340444,15244.678440936952,7263.447851062044,0,8569.67844093695,16089.54168096624,5482.467236341986,31145.452417143402,11715.334261489968,21741.264283566517,25636.52031531354,28710.04222051844,4597.871376374779,8694.928416091801,3648.9356881873887,7180.252445389534,12765.098280511602,21717.900718839584,28816.108237696422,19723.473017926815,10446.650253822801,4902.050983124842,8756.567497226304,1916.3978084332648,16144.93617804936
EMP_NZ064,30500.53252787845,37173.65464427743,23743.536488623948,15762.305898749064,8569.67844093695,0,7850.508477136558,9614.769899987057,39715.13085808042,20214.19230917695,30240.122331253482,34135.37836300052,37279.72066145542,3971.8070645621674,635.4101966249684,10499.365759954264,15749.930886326492,21263.95632819857,30216.75876652655,37385.786678633405,28293.15145886371,19016.328694759733,3761.1538898705894,617.7050983124842,10415.255856120286,24714.61461898624
EMP_NZ068,38020.395767907714,44693.517884306755,31263.3997286532,23282.169138778303,16089.54168096624,7850.508477136558,0,17241.520490940307,47234.994098109724,27734.05554920621,37759.98557128281,41655.241603029834,44799.58390148473,11518.392142322451,7446.249700147512,18126.116350907505,23269.79412635574,28783.819568227835,37736.622006555874,44905.64991866271,35813.01469889303,26536.191934788985,11387.904480823863,7401.822764104032,17935.119096149552,32234.4778590155
EMP_NZ074,24645.36624981619,32650.38271422732,17888.37021056166,9659.268244311985,5482.467236341986,9614.769899987057,17241.520490940307,0,34000.54728692419,14814.027736480059,24384.95605319123,28280.21208493823,32593.087812539765,5931.481329899064,9846.907226065894,3566.562381130187,11519.213476068446,15408.790050136324,24361.592488464295,32535.792910852248,24062.43404860573,14785.611284501712,5853.616010116464,9908.546307200395,5372.149439263195,20483.897208728256
EMP_NZS42,9489.026971610749,4492.955838336644,17657.332181736638,24341.279042612263,31145.452417143402,39715.13085808042,47234.994098109724,34000.54728692419,0,19814.956228817995,9667.227669006124,5720.335201986028,4599.021855514626,35743.32379351819,39840.380833235235,31282.67761591485,23982.412116844916,18725.366425442968,9881.732069923226,4705.087872692608,11465.913382038667,20698.80216332065,36047.50340026825,39902.01991436974,29533.984140924775,15062.64827345009
FMWT_519,10459.775191709927,18464.791656121084,4646.807064562167,5154.759492168069,11715.334261489968,20214.19230917695,27734.05554920621,14814.027736480059,19814.956228817995,0,10199.364995084963,14094.62102683199,18407.49675443357,16242.385244614812,20339.442284331824,11829.924064865,12926.816531885099,1160.4101966249684,10176.001430358028,18350.201852746053,25470.037104422347,16193.214340318365,16546.564851364874,20401.081365466325,9892.462885115187,21891.5002645449
