station,DWR_SMSCG,EMP_D22,EMP_D4,EMP_NZ028,EMP_NZ032,EMP_NZ054,EMP_NZ060,EMP_NZ064,EMP_NZ068,EMP_NZS42,FMWT_416,FMWT_508,FMWT_513,FMWT_519,FMWT_602,FMWT_605,FMWT_606,FMWT_704,FMWT_706,FMWT_707,FMWT_802,FRP_GRIZZ,STN_405,STN_411,STN_418,STN_501,STN_504,STN_508,STN_513,STN_519,STN_520,STN_602,STN_606,STN_609,STN_610,STN_704,STN_706,STN_707,STN_801,STN_HONK,STN_MONT
DWR_SMSCG,0,7180.252445389533,15749.930886326489,23213.156750586604,21440.935903041984,8528.373796919168,7180.252445389533,15749.930886326489,24029.468391692622,23982.412116844927,25329.032087706804,9171.814826519721,5141.726953827112,12926.816531885099,22952.74655396164,25824.467451196564,21547.001920219966,11778.123821764315,15875.18086148134,19755.196561023175,8392.227669006128,22284.791480494307,30526.90346408157,24247.8014978319,25487.391301206935,19117.557579269265,18048.86580964455,9974.930121457175,5049.0218555146275,13976.580550906732,8717.470647072736,22929.382989234706,21653.067937397947,12560.432717628319,3283.609953524286,12082.303428514377,15936.819942615843,19745.193915161737,6147.064036805267,10659.11143357261,8981.895877750845
EMP_D22,7180.252445389533,0,8569.67844093695,22001.674480191487,28603.97620334046,7263.447851062043,0,8569.67844093695,16849.215946303128,31145.452417143402,24117.549817311694,7960.33255612459,3609.345884812357,11715.334261489968,21741.264283566517,25636.52031531354,28710.04222051844,4597.871376374779,8694.928416091801,12574.944115633662,3648.9356881873887,21073.309210099178,29315.42119368646,23036.31922743679,24275.909030811825,17906.07530887414,16837.383539249433,8763.447851062045,3216.640786499873,12765.098280511602,6579.5235111897055,21717.900718839584,28816.108237696422,19723.473017926815,10446.650253822801,4902.050983124842,8756.567497226304,12564.941469772224,1916.3978084332648,9447.62916317748,16144.93617804936
EMP_D4,15749.930886326489,8569.67844093695,0,30500.53252787845,37173.654644277434,15762.305898749064,8569.678440936954,0,8610.182742473455,39715.13085808042,32616.40786499866,16459.19060381161,12108.203932499378,20214.19230917695,30240.122331253482,34135.37836300052,37279.72066145542,3971.8070645621674,635.4101966249684,4267.062331439892,10499.365759954264,29572.167257786143,37814.27924137352,31535.177275123755,32774.767078498786,26404.933356561105,25336.241586936394,17262.305898749055,11715.498834186894,21263.95632819857,13678.716936489493,30216.75876652655,37385.786678633405,28293.15145886371,19016.328694759733,3761.1538898705894,617.7050983124842,4170.998960123348,10415.255856120286,17946.487210864485,24714.61461898624
EMP_NZ028,23213.156750586604,22001.674480191487,30500.53252787845,0,8138.862398913823,14986.098005504244,22001.674480191487,30500.53252787845,38780.070033244614,9489.026971610749,6713.790225763059,14182.98271056679,18392.328595379153,10459.775191709927,467.7050983124842,3768.691769624715,8081.567497226307,26528.725463316292,30625.7825030333,34505.79820257514,21927.4965788068,5188.525491562421,12899.057605825128,8075.9090308118575,7384.610619012995,5606.566732356993,7160.339553212835,13619.707194159217,18785.033693691636,9370.18538833489,18574.21671117244,392.7050983124842,8024.272595538791,17023.216810553044,26256.105591834978,26832.905070066354,30687.421584167805,34495.7955567137,20178.803103816725,12727.480290022411,20619.951701964434
EMP_NZ032,21440.935903041984,28603.97620334046,37173.654644277434,8138.862398913823,0,22991.114469915363,28603.976203340444,37173.65464427743,45453.192149643655,4492.955838336644,13853.867515009939,22187.99917497792,26397.345059790274,18464.791656121084,8317.0630963092,4423.614304751093,106.06601717798213,33201.847579715206,37298.90461943228,41178.92031897418,29815.95142695703,12538.620185716522,20039.13489507199,15683.618480351148,14524.687908259877,13745.42913127082,15299.201952126661,21624.72365857035,26472.74561346554,17375.201852746053,26579.233175583566,8531.567497226304,212.13203435596427,8924.437168235714,18157.32594951771,33506.02718646527,37360.543700566785,41168.917673112745,27570.78779475618,20732.496754433552,12521.172059647139
EMP_NZ054,8528.373796919168,7263.447851062043,15762.305898749064,14986.098005504244,22991.114469915363,0,7263.447851062044,15762.305898749064,24041.843404115196,24341.279042612263,17101.97334262446,803.1152949374526,3654.1019662496838,5154.759492168069,14725.68780887929,18620.9438406263,22933.819568227835,11790.498834186892,15887.555873903915,19767.571573445737,6941.398573302575,14057.732735411948,22299.84471899922,16020.742752749562,17260.332556124584,10890.498834186888,9821.807064562168,1500,4046.8070645621674,5749.521805824334,3588.1187056681956,14702.324244152354,22876.524666540317,21071.59436945643,11794.771605352435,12094.678440936956,15949.194955038418,19757.5689275843,5440.576474687262,4948.778877448016,17493.057529578982
EMP_NZ060,7180.252445389533,0,8569.678440936954,22001.674480191487,28603.976203340444,7263.447851062044,0,8569.67844093695,16849.215946303128,31145.452417143402,24117.549817311694,7960.33255612459,3609.345884812357,11715.334261489968,21741.264283566517,25636.52031531354,28710.04222051844,4597.871376374779,8694.928416091801,12574.944115633662,3648.9356881873887,21073.309210099178,29315.42119368646,23036.31922743679,24275.909030811825,17906.07530887414,16837.383539249433,8763.447851062045,3216.640786499873,12765.098280511602,6579.5235111897055,21717.900718839584,28816.108237696422,19723.473017926815,10446.650253822801,4902.050983124842,8756.567497226304,12564.941469772224,1916.3978084332648,9447.62916317748,16144.93617804936
EMP_NZ064,15749.930886326489,8569.67844093695,0,30500.53252787845,37173.65464427743,15762.305898749064,8569.67844093695,0,8610.182742473455,39715.13085808042,32616.40786499866,16459.19060381161,12108.203932499378,20214.19230917695,30240.122331253482,34135.37836300052,37279.72066145542,3971.8070645621674,635.4101966249684,4267.062331439892,10499.365759954264,29572.167257786143,37814.27924137352,31535.177275123755,32774.767078498786,26404.933356561105,25336.241586936394,17262.305898749055,11715.498834186894,21263.95632819857,13678.716936489493,30216.75876652655,37385.786678633405,28293.15145886371,19016.328694759733,3761.1538898705894,617.7050983124842,4170.998960123348,10415.255856120286,17946.487210864485,24714.61461898624
EMP_NZ068,24029.468391692622,16849.215946303128,8610.182742473455,38780.070033244614,45453.192149643655,24041.843404115196,16849.215946303128,8610.182742473455,0,47994.668363446624,40895.94537036488,24738.728109177748,20387.741437865523,28493.7298145431,38519.65983661971,42414.915868366734,45559.25816682163,12278.066407659348,8205.923965484408,4343.120411033567,18885.790616244394,37851.70476315237,46093.81674673973,39814.71478048998,41054.304583865014,34684.470861927286,33615.77909230255,25541.8434041152,19995.036339553037,29543.493833564728,22065.141792779614,38496.296271892774,45665.32418399961,36572.68896422993,27295.866200125878,12147.57874616076,8161.497029440929,4492.627457812105,18694.79336148644,26226.02471623063,32994.1521243524
EMP_NZS42,23982.412116844927,31145.452417143402,39715.13085808042,9489.026971610749,4492.955838336644,24341.279042612263,31145.452417143402,39715.13085808042,47994.668363446624,0,15204.032087706864,23538.16374767484,27747.509632487196,19814.956228817995,9667.227669006124,5720.335201986028,4599.021855514626,35743.32379351819,39840.380833235235,43720.39653277714,31282.67761591485,13888.784758413447,21389.29946776891,17033.783053048068,15874.852480956803,15095.593703967745,16649.366524823585,22974.888231267272,28140.214730799682,18725.366425442968,27929.397748280488,9881.732069923226,4705.087872692608,11465.913382038667,20698.80216332065,36047.50340026825,39902.01991436974,43710.3938869157,29533.984140924775,22082.661327130467,15062.64827345009
