station,SM01,SM02,SM03,SM04,SM05,SM06,SM07,SM08,SM09,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM38,SM40,SM41,SM42,SM43,SM44,SM45,SM49,SM50,SM51,SM52
SM01,0,8529.688083886625,7629.688083886624,23862.913772519998,12510.676460564231,5303.93739355276,17471.33739721336,2915.4188990785824,9862.147558271066,3852.0509831248414,19942.9798890786,13304.610443386251,26298.653114538793,22723.402374514655,20111.927101207795,785.4101966249684,15884.947526364405,5055.33784784746,5933.453142784909,11650.101691242338,14581.582256272102,15481.746828969024,11502.401884652729,11655.760157656792,11586.0902435467,10952.559460261406,18459.862888775784,19880.68328202571,19418.801222824604,20825.36719031228,19245.200912249995,15317.071623136066,19172.73785150806,23397.581040768655,8230.90997130792,8706.081541093083,10070.099985876966,11888.955563329297,16007.404354887409,12299.858713175729,22185.606582021377,20362.899778343537,7065.16968879304,13221.0866571892,22354.625202432013
SM02,8529.688083886625,0,900,20328.639295989087,4096.564086495559,8134.682027294444,9043.864104279193,5640.9910225390395,4554.594919471146,8893.042005663883,11515.506596144443,4877.137150452078,17871.179821604674,21485.36283908545,26667.17254950902,8122.636160265721,9016.084186954515,3541.154830366654,4618.041240794574,5248.450496923479,7712.71891686221,8956.81747238115,3139.925945857122,3293.2842188611844,3171.977869478029,2525.086167327237,10032.389595841618,11453.209989091556,10991.327929890445,12397.893897378133,24946.35215625909,6889.598330201892,10745.2645585739,14970.107747834525,11882.47499829954,7236.818412877218,8600.8368576611,6497.386185110869,9482.474998299538,3872.3854202415605,13758.133289087245,11935.426485409385,10783.539310112148,5515.01211318436,29632.749024196277
SM03,7629.688083886624,900,0,21161.83470166159,4916.398573302572,7234.682027294444,9877.059509951707,4740.9910225390395,5322.792971005094,7993.042005663884,12348.702001816957,5710.332556124591,18704.375227277178,22318.558244757955,27500.367955181526,7222.636160265721,9784.282238488462,2641.154830366654,3718.041240794574,6016.648548457424,8480.916968396155,9725.015523915097,3908.1239973910688,4061.4822703951313,3991.8123562850396,3358.2815729997474,10865.585001514131,12286.40539476407,11824.523335562959,13231.089303050647,25779.547561931595,7722.793735874406,11578.459964246413,15803.303153507039,10982.47499829954,6336.818412877218,7700.8368576611,7265.584236644814,10250.673049833484,4705.5808259140695,14591.328694759759,12768.621891081899,9883.539310112148,6283.210164718305,29967.101141227573
SM04,23862.913772519998,20328.639295989087,21161.83470166159,0,16329.61744047449,28361.106532331065,11359.28223848847,25867.415527575668,22825.688573748568,27262.50075440682,14052.566457349649,15553.716936489494,2519.5915087404032,1156.7235430963674,6338.533253519972,24373.238566687025,26526.682242149025,23767.579335403283,24844.465745831203,22835.362839085465,25223.31697205672,26467.41552757566,20650.52400105165,20742.73614614267,18831.668423599327,17803.553128661875,12516.005781584841,13910.104337103776,15916.341924066926,7957.467236341993,4617.712860270035,13593.87809845568,9583.374737415228,5385.253385885596,31670.12403661886,25928.23251009486,27292.250954878742,24084.298527272844,26993.07305349405,19216.835642157683,18683.147283263712,16860.44047958586,30542.42405440248,23025.610168378877,9304.109728207237
SM05,12510.676460564231,4096.564086495559,4916.398573302572,16329.61744047449,0,12115.670403972055,5044.842248764563,9621.97939921665,6566.8915265240375,12874.030382341496,7516.484740629813,842.7050983124842,13872.157966090053,17486.34098357085,22668.150693994423,12103.62453694333,10267.88519492451,7522.143207044263,8599.029617472186,6576.565791860936,8964.519924832206,10208.618480351146,4391.72695382711,4483.939098918133,2572.871376374779,1598.199756899318,6033.367740326988,7454.188133576926,6992.306074375814,8398.872041863502,20947.330300744492,2890.5764746872633,6746.242703059268,10971.085892319894,15411.326989394383,9669.435462870346,11033.45390765423,7825.501480048325,10734.276006269534,3024.8431892606272,9759.111433572614,7936.404629894754,14764.52768678976,6766.813121154352,25633.72716868168
SM06,5303.93739355276,8134.682027294444,7234.682027294444,28361.106532331065,12115.670403972055,0,17076.331340621182,4703.937393552761,7824.679381433016,1667.7050983124843,19547.97383248642,12909.604386794072,25903.647057946637,27641.68036115686,25030.205087849998,5383.117000302824,13847.479349526353,4650.822098615308,3516.6407864998732,9612.633514404288,12544.11407943405,13444.278652130972,11068.206578360809,11260.754101064611,11191.084186954518,10557.553403669224,18064.8568321836,19485.677225433534,19023.795166232427,20430.36113372011,24163.4788988922,14922.065566543886,18777.731794915882,23002.5749841765,3801.2366464670845,6668.613364255031,8032.631809038917,9851.487386491246,13969.936178049356,11904.852656583547,21790.60052542922,19967.893721751363,2719.513103370718,11183.618480351148,27272.903189074215
SM07,17471.33739721336,9043.864104279193,9877.059509951707,11359.28223848847,5044.842248764563,17076.331340621182,0,14582.640335865784,11540.913382038669,17834.691318990623,3223.614304751094,4268.9417447795695,8901.822764104023,12516.00578158483,17697.81549200843,17064.28547359246,15241.907050439142,12482.804143693396,13559.69055412132,11550.587647375567,13938.541780346837,15182.640335865777,9365.748809341741,9457.960954432763,7546.8932318894085,6518.777936951953,1687.0536289862778,3081.15218450522,5052.965481286323,3428.536839877472,15976.9950987585,2309.1029067457484,1775.907501073238,6000.750690333864,20385.348844908982,14643.457318384977,16007.47576316886,12799.523335562955,15708.297861784165,7932.060450447768,7819.770840483118,5997.064036805263,19725.188623438866,11740.834976668983,20663.391966695686
SM08,2915.4188990785824,5640.9910225390395,4740.9910225390395,25867.415527575668,9621.97939921665,4703.937393552761,14582.640335865784,0,6973.45049692348,3252.0509831248423,17054.28282773103,10415.913382038665,23409.95605319122,25621.609128502205,23010.133855195345,2508.366975457677,12996.25046501682,2166.6407864998737,3044.7560814373264,8761.404629894752,11692.885194924516,12593.049767621438,8613.704823305143,8767.063096309206,8697.393182199114,8063.8623989138205,15571.165827428205,16991.98622067814,16530.104161477033,17936.67012896471,22143.407666237545,12428.37456178848,16284.040790160487,20508.883979421083,7630.9099713079195,5817.384479745498,7181.402924529381,9000.25850198171,13118.707293539823,9411.161651828143,19296.909520673806,17474.202716995966,6465.169688793041,10332.389595841614,25252.831956419563
SM09,9862.147558271066,4554.594919471146,5322.792971005094,22825.688573748568,6566.8915265240375,7824.679381433016,11540.913382038669,6973.45049692348,0,9377.794676370468,14012.555873903915,7374.186428211553,20368.229099364133,23982.412116844916,29164.221827268488,9455.09563465016,6900.91526303079,4988.368680823049,4321.399513798636,2666.0694279087256,5597.549992938486,6497.714565635409,3278.937393552761,4673.528902293164,4793.448791558106,5022.135445086707,12529.43887360109,13950.259266851028,13488.377207649917,14894.943175137605,27443.401434018557,9386.647607961366,13242.313836333371,17467.15702559399,8879.845659495311,3137.954132971273,4501.972577755156,2904.9232999956844,7023.372091553793,6369.434698001032,16255.182566846717,14432.475763168857,10473.536664250718,4206.316757202142,32129.798301955743
SM10,3852.0509831248414,8893.042005663883,7993.042005663884,27262.50075440682,12874.030382341496,1667.7050983124843,17834.691318990623,3252.0509831248423,9377.794676370468,0,20306.333810855856,13667.96436516351,26662.00703631605,26122.989356401453,23511.51408309459,3931.2305898749046,15400.594644463807,5418.6917696247165,5069.7560814373255,11165.748809341741,14097.229374371504,14997.393947068425,11865.755806429988,12019.114079434052,11949.44416532396,11315.913382038665,18823.216810553033,20244.037203802967,19782.15514460186,21188.721112089537,22644.787894136793,15680.425544913325,19536.091773285312,23760.93496254591,4594.677676067639,8221.728659192486,9585.74710397637,11404.6026814287,15523.05147298681,12663.212634952988,22548.960503798633,20726.253700120793,3428.937393552762,12736.733775288601,25754.212184318807
